bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,1,1,5
Chart_9,2,2,3
Cli_23,1,5,5
Cli_26,100000,0,1
Cli_27,100000,0,1
Cli_35,100000,0,2
Cli_40,100000,0,1
Closure_1,100000,0,2
Closure_101,100000,0,3
Closure_107,100000,0,1
Closure_117,100000,0,1
Closure_12,100000,0,2
Closure_122,100000,0,2
Closure_124,100000,0,1
Closure_126,100000,0,1
Closure_132,100000,0,2
Closure_136,100000,0,1
Closure_138,100000,0,1
Closure_141,100000,0,1
Closure_142,100000,0,1
Closure_143,100000,0,3
Closure_149,100000,0,3
Closure_151,100000,0,6
Closure_155,100000,0,1
Closure_158,100000,0,2
Closure_170,100000,0,1
Closure_173,100000,0,1
Closure_175,100000,0,1
Closure_27,1,4,4
Closure_3,100000,0,1
Closure_32,100000,0,2
Closure_38,100000,0,2
Closure_42,100000,0,1
Closure_44,100000,0,1
Closure_47,100000,0,1
Closure_48,100000,0,1
Closure_5,100000,0,1
Closure_51,100000,0,4
Closure_56,100000,0,4
Closure_57,100000,0,1
Closure_60,100000,0,1
Closure_62,100000,0,2
Closure_64,100000,0,1
Closure_65,100000,0,1
Closure_73,100000,0,3
Closure_77,100000,0,5
Closure_78,100000,0,4
Closure_8,100000,0,4
Closure_83,100000,0,1
Closure_97,100000,0,1
Codec_1,100000,0,1
Codec_12,1,1,2
Codec_13,1,1,4
Codec_16,100000,0,1
Codec_17,1,4,5
Codec_18,100000,0,6
Codec_7,100000,0,1
Codec_9,100000,0,2
Compress_11,100000,0,1
Compress_15,100000,0,1
Compress_17,100000,0,1
Compress_19,100000,0,2
Compress_22,100000,0,1
Compress_24,100000,0,2
Compress_36,100000,0,1
Compress_41,100000,0,4
Compress_44,100000,0,1
Compress_5,100000,0,1
Csv_1,100000,0,2
Csv_15,100000,0,2
Csv_2,100000,0,2
Csv_5,1,2,3
Gson_7,1,3,3
JacksonCore_1,100000,0,1
JacksonCore_14,100000,0,2
JacksonCore_19,1,2,2
JacksonCore_23,100000,0,1
JacksonCore_24,100000,0,1
JacksonCore_5,100000,0,1
JacksonDatabind_10,100000,0,1
JacksonDatabind_100,100000,0,1
JacksonDatabind_102,100000,0,1
JacksonDatabind_103,100000,0,1
JacksonDatabind_107,100000,0,2
JacksonDatabind_112,100000,0,2
JacksonDatabind_16,1,1,1
JacksonDatabind_19,100000,0,2
JacksonDatabind_23,100000,0,3
JacksonDatabind_27,100000,0,1
JacksonDatabind_3,100000,0,2
JacksonDatabind_35,100000,0,1
JacksonDatabind_36,100000,0,2
JacksonDatabind_4,100000,0,1
JacksonDatabind_40,2,1,3
JacksonDatabind_42,1,3,3
JacksonDatabind_46,100000,0,2
JacksonDatabind_51,100000,0,1
JacksonDatabind_56,100000,0,4
JacksonDatabind_6,100000,0,2
JacksonDatabind_63,100000,0,2
JacksonDatabind_64,100000,0,1
JacksonDatabind_74,100000,0,2
JacksonDatabind_8,100000,0,1
JacksonDatabind_80,100000,0,1
JacksonDatabind_82,100000,0,1
JacksonDatabind_87,100000,0,1
Jsoup_11,100000,0,2
Jsoup_12,1,2,4
