bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,1,1,5
Chart_9,2,2,3
Cli_23,1,5,5
Cli_35,100000,0,2
Closure_1,100000,0,2
Closure_101,100000,0,3
Closure_122,100000,0,2
Closure_138,100000,0,1
Closure_143,100000,0,3
Closure_149,100000,0,3
Closure_151,100000,0,6
Closure_158,100000,0,2
Closure_27,1,4,4
Closure_32,100000,0,2
Closure_38,100000,0,2
Closure_51,100000,0,4
Closure_56,100000,0,4
Closure_62,100000,0,2
Closure_73,100000,0,3
Closure_77,100000,0,5
Closure_78,100000,0,4
Closure_8,100000,0,4
Codec_13,1,1,4
Codec_17,1,4,5
Codec_18,100000,0,6
Compress_19,100000,0,2
Compress_41,100000,0,4
Csv_1,100000,0,2
Csv_15,100000,0,2
Csv_2,100000,0,2
Csv_5,1,2,3
Gson_7,1,3,3
JacksonCore_19,1,2,2
JacksonDatabind_36,100000,0,2
JacksonDatabind_42,1,3,3
JacksonDatabind_46,100000,0,2
JacksonDatabind_51,100000,0,1
JacksonDatabind_56,100000,0,4
JacksonDatabind_6,100000,0,2
JacksonDatabind_63,100000,0,2
JacksonDatabind_82,100000,0,1
Jsoup_11,100000,0,2
Jsoup_12,1,2,4
Jsoup_17,100000,0,2
Jsoup_2,100000,0,5
Jsoup_3,100000,0,2
Jsoup_40,1,4,4
Jsoup_5,1,4,4
Jsoup_72,100000,0,3
Jsoup_74,1,3,4
Jsoup_77,1,2,3
Jsoup_80,1,4,4
Jsoup_82,1,4,4
Jsoup_89,1,2,2
Lang_13,1,3,3
Lang_14,100000,0,4
Lang_19,1,8,8
Lang_20,1,4,4
Lang_21,100000,0,2
Lang_22,1,2,3
Lang_24,1,2,5
Lang_27,100000,0,5
Lang_33,2,1,3
Lang_35,100000,0,4
Lang_36,1,2,4
Lang_37,100000,0,5
Lang_39,2,3,6
Lang_40,100000,0,4
Lang_44,100000,0,8
Lang_46,1,3,5
Lang_51,1,4,6
Lang_57,1,5,6
Lang_58,1,1,2
Lang_6,1,2,5
Lang_62,1,3,3
Lang_7,100000,0,6
Math_1,1,2,5
Math_105,100000,0,5
Math_106,1,2,2
Math_11,1,4,6
Math_15,2,1,4
Math_29,100000,0,5
Math_41,100000,0,3
Math_48,100000,0,2
Math_50,100000,0,2
Math_53,100000,0,3
Math_56,100000,0,3
Math_60,1,2,2
Math_63,100000,0,2
Math_8,1,3,3
Math_89,100000,0,4
Math_90,100000,0,3
Time_15,3,1,7
Time_18,1,6,6
Time_7,1,3,6
