bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,4
Chart_5,100000,0,2
Chart_9,1,3,3
Cli_17,100000,0,1
Cli_23,1,3,3
Cli_26,100000,0,1
Cli_29,100000,0,2
Cli_32,100000,0,1
Cli_5,3,1,3
Cli_9,100000,0,1
Closure_101,100000,0,4
Closure_105,100000,0,1
Closure_12,100000,0,1
Closure_123,100000,0,1
Closure_124,100000,0,1
Closure_13,100000,0,1
Closure_131,100000,0,1
Closure_136,100000,0,1
Closure_142,100000,0,1
Closure_143,100000,0,3
Closure_149,100000,0,2
Closure_151,100000,0,4
Closure_158,100000,0,2
Closure_173,100000,0,3
Closure_21,100000,0,2
Closure_27,1,7,7
Closure_32,100000,0,4
Closure_38,100000,0,3
Closure_42,100000,0,1
Closure_5,100000,0,1
Closure_51,100000,0,3
Closure_56,100000,0,1
Closure_57,100000,0,1
Closure_58,100000,0,1
Closure_59,100000,0,1
Closure_60,100000,0,1
Closure_62,100000,0,3
Closure_65,100000,0,6
Closure_7,100000,0,1
Closure_73,100000,0,1
Closure_76,100000,0,2
Closure_77,100000,0,3
Closure_78,100000,0,4
Closure_8,100000,0,1
Closure_83,100000,0,3
Closure_9,100000,0,3
Closure_94,100000,0,1
Closure_97,100000,0,4
Codec_1,100000,0,1
Codec_10,100000,0,1
Codec_11,1,1,1
Codec_12,1,4,5
Codec_13,1,5,8
Codec_17,1,2,4
Codec_18,100000,0,5
Codec_7,1,5,5
Codec_9,100000,0,4
Compress_1,100000,0,1
Compress_15,100000,0,2
Compress_16,100000,0,1
Compress_19,100000,0,1
Compress_22,100000,0,1
Compress_23,100000,0,2
Compress_24,100000,0,5
Compress_29,100000,0,1
Compress_37,100000,0,1
Compress_39,100000,0,1
Compress_41,100000,0,6
Compress_44,100000,0,2
Compress_47,100000,0,3
Compress_5,100000,0,1
Compress_7,100000,0,1
Csv_12,100000,0,1
Csv_2,100000,0,2
Csv_3,100000,0,3
Csv_5,1,1,3
Csv_8,100000,0,2
Gson_12,1,1,1
Gson_15,100000,0,1
Gson_7,1,2,2
JacksonCore_1,100000,0,1
JacksonCore_16,100000,0,1
JacksonCore_17,100000,0,1
JacksonCore_19,1,2,3
JacksonCore_21,100000,0,1
JacksonCore_5,1,2,6
JacksonCore_8,100000,0,3
JacksonCore_9,100000,0,3
JacksonDatabind_100,100000,0,2
JacksonDatabind_102,100000,0,1
JacksonDatabind_103,100000,0,1
JacksonDatabind_108,100000,0,1
JacksonDatabind_109,100000,0,1
JacksonDatabind_112,100000,0,1
JacksonDatabind_13,100000,0,1
JacksonDatabind_16,1,1,1
JacksonDatabind_23,100000,0,1
JacksonDatabind_26,100000,0,2
JacksonDatabind_27,100000,0,2
JacksonDatabind_38,100000,0,3
JacksonDatabind_4,100000,0,1
JacksonDatabind_40,100000,0,1
JacksonDatabind_42,1,2,2
JacksonDatabind_7,100000,0,1
JacksonDatabind_74,100000,0,1
JacksonDatabind_80,100000,0,1
JacksonDatabind_81,100000,0,2
JacksonDatabind_87,100000,0,1
