bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,4
Chart_9,1,3,3
Cli_23,1,3,3
Cli_5,3,1,3
Closure_101,100000,0,4
Closure_143,100000,0,3
Closure_151,100000,0,4
Closure_158,100000,0,2
Closure_21,100000,0,2
Closure_27,1,7,7
Closure_32,100000,0,4
Closure_65,100000,0,6
Closure_76,100000,0,2
Closure_78,100000,0,4
Closure_83,100000,0,3
Closure_9,100000,0,3
Closure_97,100000,0,4
Codec_12,1,4,5
Codec_13,1,5,8
Codec_17,1,2,4
Codec_18,100000,0,5
Codec_7,1,5,5
Compress_23,100000,0,2
Compress_24,100000,0,5
Compress_44,100000,0,2
Csv_2,100000,0,2
Gson_7,1,2,2
JacksonCore_19,1,2,3
JacksonCore_5,1,2,6
JacksonCore_8,100000,0,3
JacksonCore_9,100000,0,3
JacksonDatabind_16,1,1,1
JacksonDatabind_26,100000,0,2
JacksonDatabind_38,100000,0,3
JacksonDatabind_42,1,2,2
Jsoup_1,1,1,1
Jsoup_12,1,3,8
Jsoup_14,1,2,3
Jsoup_19,100000,0,3
Jsoup_38,2,4,8
Jsoup_40,1,4,7
Jsoup_47,100000,0,6
Jsoup_5,1,3,3
Jsoup_52,100000,0,2
Jsoup_53,100000,0,4
Jsoup_54,1,2,2
Jsoup_56,2,4,6
Jsoup_59,100000,0,7
Jsoup_68,100000,0,3
Jsoup_72,100000,0,5
Jsoup_74,1,4,4
Jsoup_75,1,5,5
Jsoup_77,1,4,4
Jsoup_80,1,2,2
Jsoup_82,1,2,4
Jsoup_83,5,1,5
Jsoup_84,100000,0,4
Jsoup_86,100000,0,3
Jsoup_9,100000,0,5
Jsoup_90,100000,0,2
JxPath_21,1,2,3
Lang_13,1,5,6
Lang_14,100000,0,4
Lang_19,1,2,7
Lang_20,1,4,5
Lang_22,2,1,2
Lang_27,3,3,9
Lang_35,100000,0,2
Lang_36,1,4,6
Lang_37,100000,0,6
Lang_39,4,1,6
Lang_44,100000,0,6
Lang_46,1,6,7
Lang_48,100000,0,2
Lang_5,100000,0,7
Lang_51,1,3,6
Lang_57,1,3,3
Lang_58,1,6,6
Lang_6,1,3,3
Lang_62,2,4,6
Lang_63,100000,0,7
Math_1,1,3,9
Math_15,1,3,9
Math_16,2,3,7
Math_5,1,1,6
Math_50,100000,0,2
Math_54,100000,0,2
Math_55,2,1,4
Math_89,1,1,5
Math_90,100000,0,6
Math_91,1,2,2
Math_92,1,6,6
Math_94,1,3,4
Math_96,1,5,5
Mockito_10,1,2,2
Time_13,1,1,4
Time_18,1,3,6
Time_19,100000,0,2
Time_7,1,3,3
Time_8,3,1,4
