bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,1
Chart_5,2,2,6
Chart_9,1,2,2
Cli_10,100000,0,1
Cli_17,100000,0,1
Cli_18,100000,0,1
Cli_23,1,5,5
Cli_26,100000,0,2
Cli_29,100000,0,3
Cli_30,100000,0,2
Cli_35,100000,0,2
Cli_5,100000,0,1
Cli_7,100000,0,1
Cli_9,100000,0,1
Closure_1,100000,0,3
Closure_10,100000,0,1
Closure_102,100000,0,1
Closure_103,100000,0,1
Closure_109,100000,0,1
Closure_119,100000,0,1
Closure_122,100000,0,1
Closure_123,100000,0,1
Closure_13,100000,0,1
Closure_131,100000,0,1
Closure_132,100000,0,2
Closure_138,100000,0,2
Closure_141,100000,0,2
Closure_142,100000,0,2
Closure_143,100000,0,3
Closure_144,100000,0,1
Closure_145,100000,0,1
Closure_146,100000,0,2
Closure_151,100000,0,1
Closure_153,100000,0,1
Closure_157,100000,0,1
Closure_158,100000,0,3
Closure_159,100000,0,2
Closure_160,100000,0,1
Closure_161,100000,0,2
Closure_163,100000,0,1
Closure_170,100000,0,2
Closure_172,100000,0,1
Closure_173,100000,0,3
Closure_20,100000,0,1
Closure_21,100000,0,1
Closure_22,100000,0,1
Closure_23,100000,0,4
Closure_27,1,3,4
Closure_28,100000,0,1
Closure_3,100000,0,2
Closure_30,100000,0,3
Closure_32,100000,0,2
Closure_34,100000,0,1
Closure_36,100000,0,1
Closure_37,100000,0,1
Closure_38,100000,0,1
Closure_39,100000,0,1
Closure_42,100000,0,3
Closure_44,100000,0,3
Closure_45,100000,0,1
Closure_49,100000,0,1
Closure_5,100000,0,1
Closure_50,100000,0,2
Closure_51,100000,0,3
Closure_52,100000,0,1
Closure_53,100000,0,1
Closure_55,100000,0,2
Closure_56,100000,0,1
Closure_58,100000,0,1
Closure_62,100000,0,1
Closure_65,100000,0,7
Closure_69,100000,0,1
Closure_7,100000,0,1
Closure_70,100000,0,1
Closure_73,100000,0,1
Closure_75,100000,0,1
Closure_77,100000,0,3
Closure_78,100000,0,6
Closure_79,100000,0,1
Closure_80,100000,0,2
Closure_82,100000,0,1
Closure_83,100000,0,2
Closure_84,100000,0,1
Closure_9,100000,0,1
Closure_92,100000,0,1
Closure_94,100000,0,1
Closure_97,100000,0,3
Closure_99,100000,0,1
Codec_1,100000,0,3
Codec_12,1,3,3
Codec_13,1,4,5
Codec_15,100000,0,2
Codec_17,1,4,5
Codec_18,100000,0,6
Codec_3,100000,0,1
Codec_6,100000,0,2
Codec_7,1,8,8
Codec_9,100000,0,2
Collections_25,100000,0,2
Collections_26,100000,0,1
Collections_28,100000,0,1
Compress_1,100000,0,1
Compress_10,100000,0,1
Compress_11,100000,0,1
Compress_12,100000,0,1
Compress_14,100000,0,1
Compress_15,100000,0,2
Compress_18,100000,0,3
Compress_22,100000,0,1
Compress_24,100000,0,2
Compress_29,100000,0,1
Compress_35,100000,0,1
Compress_38,100000,0,1
Compress_40,100000,0,1
Compress_41,100000,0,3
Compress_42,100000,0,1
Compress_44,100000,0,1
Compress_45,100000,0,1
Compress_46,100000,0,1
Compress_47,100000,0,2
Compress_7,100000,0,2
Compress_9,100000,0,1
Csv_13,100000,0,1
Csv_2,100000,0,5
Csv_3,100000,0,1
Csv_5,2,2,9
Csv_8,100000,0,1
Gson_1,100000,0,2
Gson_7,1,4,4
JacksonCore_1,100000,0,1
JacksonCore_12,1,3,3
JacksonCore_16,100000,0,1
JacksonCore_17,100000,0,1
JacksonCore_19,1,2,3
JacksonCore_2,100000,0,1
JacksonCore_21,100000,0,2
JacksonCore_26,100000,0,1
JacksonCore_4,100000,0,3
JacksonCore_5,100000,0,2
JacksonCore_8,100000,0,2
JacksonDatabind_10,100000,0,1
JacksonDatabind_102,100000,0,1
JacksonDatabind_104,100000,0,2
JacksonDatabind_108,100000,0,2
JacksonDatabind_110,100000,0,2
JacksonDatabind_16,1,1,1
JacksonDatabind_17,1,2,2
JacksonDatabind_19,100000,0,1
JacksonDatabind_22,100000,0,1
JacksonDatabind_26,100000,0,1
JacksonDatabind_32,100000,0,1
JacksonDatabind_34,100000,0,1
JacksonDatabind_38,100000,0,3
JacksonDatabind_41,100000,0,1
JacksonDatabind_42,1,3,3
JacksonDatabind_44,100000,0,1
JacksonDatabind_46,100000,0,1
JacksonDatabind_53,100000,0,1
JacksonDatabind_56,100000,0,2
JacksonDatabind_57,100000,0,1
JacksonDatabind_64,100000,0,1
JacksonDatabind_74,100000,0,1
JacksonDatabind_8,100000,0,2
JacksonDatabind_80,100000,0,1
JacksonDatabind_81,100000,0,2
JacksonDatabind_9,1,1,2
JacksonDatabind_94,100000,0,2
JacksonDatabind_95,1,1,1
JacksonDatabind_96,100000,0,1
JacksonXml_4,100000,0,1
Jsoup_1,1,3,4
Jsoup_11,100000,0,1
Jsoup_12,4,1,4
Jsoup_13,100000,0,1
Jsoup_16,100000,0,3
Jsoup_17,2,1,4
Jsoup_18,100000,0,2
Jsoup_19,100000,0,3
Jsoup_2,100000,0,5
Jsoup_20,100000,0,2
Jsoup_21,1,1,4
Jsoup_23,1,2,5
Jsoup_24,100000,0,4
Jsoup_25,100000,0,3
Jsoup_27,100000,0,2
