bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_5,2,2,6
Chart_9,1,2,2
Cli_23,1,5,5
Closure_1,100000,0,3
Closure_143,100000,0,3
Closure_159,100000,0,2
Closure_161,100000,0,2
Closure_173,100000,0,3
Closure_27,1,3,4
Closure_3,100000,0,2
Closure_44,100000,0,3
Closure_51,100000,0,3
Closure_55,100000,0,2
Closure_65,100000,0,7
Closure_78,100000,0,6
Codec_12,1,3,3
Codec_13,1,4,5
Codec_17,1,4,5
Codec_18,100000,0,6
Codec_7,1,8,8
Compress_44,100000,0,1
Csv_2,100000,0,5
Csv_5,2,2,9
Gson_7,1,4,4
JacksonCore_12,1,3,3
JacksonCore_19,1,2,3
JacksonCore_4,100000,0,3
JacksonDatabind_16,1,1,1
JacksonDatabind_17,1,2,2
JacksonDatabind_38,100000,0,3
JacksonDatabind_42,1,3,3
Jsoup_1,1,3,4
Jsoup_12,4,1,4
Jsoup_23,1,2,5
Jsoup_31,100000,0,5
Jsoup_38,1,2,5
Jsoup_4,1,3,5
Jsoup_40,1,2,7
Jsoup_47,100000,0,9
Jsoup_5,1,4,4
Jsoup_58,2,2,6
Jsoup_6,100000,0,3
Jsoup_62,100000,0,5
Jsoup_65,100000,0,4
Jsoup_68,100000,0,5
Jsoup_72,100000,0,4
Jsoup_74,2,1,5
Jsoup_75,1,2,5
Jsoup_77,1,4,4
Jsoup_80,1,3,3
Jsoup_83,1,3,6
Jsoup_92,2,1,4
JxPath_3,100000,0,3
JxPath_6,100000,0,5
JxPath_8,100000,0,4
JxPath_9,100000,0,4
Lang_1,1,4,4
Lang_13,1,2,2
Lang_17,1,3,3
Lang_20,1,1,3
Lang_22,1,5,7
Lang_27,8,1,9
Lang_31,100000,0,2
Lang_36,100000,0,2
Lang_37,7,1,8
Lang_38,1,2,3
Lang_39,100000,0,4
Lang_41,100000,0,2
Lang_5,100000,0,6
Lang_6,1,2,2
Math_1,1,1,5
Math_105,2,2,3
Math_11,1,6,6
Math_12,100000,0,2
Math_15,1,1,5
Math_16,3,1,6
Math_29,100000,0,3
Math_36,100000,0,6
Math_37,100000,0,2
Math_49,1,7,7
Math_5,100000,0,7
Math_54,1,2,3
Math_55,1,3,5
Math_56,100000,0,2
Math_59,1,4,8
Math_60,1,3,3
Math_79,1,5,5
Math_8,1,4,5
Math_89,100000,0,6
Math_90,100000,0,4
Math_92,1,2,3
Math_99,100000,0,6
Mockito_10,1,2,2
Mockito_5,100000,0,3
Time_10,1,1,2
Time_13,1,3,4
Time_14,1,7,8
Time_16,100000,0,2
Time_18,1,1,3
Time_19,2,1,6
Time_7,1,3,3
Time_8,1,3,6
