bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_1,1,1,1
Chart_11,1,4,6
Chart_2,100000,0,1
Chart_5,100000,0,5
Chart_9,1,7,7
Cli_1,100000,0,1
Cli_10,1,2,2
Cli_14,1,1,3
Cli_17,3,1,6
Cli_18,2,1,4
Cli_2,2,3,4
Cli_20,100000,0,4
Cli_23,1,4,4
Cli_26,100000,0,4
Cli_29,2,1,2
Cli_31,100000,0,3
Cli_33,100000,0,2
Cli_35,100000,0,4
Cli_39,100000,0,5
Cli_40,100000,0,3
Cli_5,3,1,5
Cli_8,100000,0,1
Closure_10,100000,0,1
Closure_103,100000,0,2
Closure_105,100000,0,1
Closure_107,100000,0,1
Closure_108,100000,0,1
Closure_113,100000,0,2
Closure_114,100000,0,1
Closure_116,100000,0,1
Closure_117,100000,0,1
Closure_12,100000,0,1
Closure_120,100000,0,1
Closure_123,100000,0,1
Closure_131,100000,0,1
Closure_133,100000,0,1
Closure_136,100000,0,1
Closure_141,100000,0,2
Closure_142,100000,0,1
Closure_144,100000,0,2
Closure_15,100000,0,1
Closure_151,100000,0,2
Closure_153,100000,0,1
Closure_16,100000,0,1
Closure_161,100000,0,1
Closure_170,100000,0,2
Closure_173,100000,0,2
Closure_174,100000,0,1
Closure_175,100000,0,2
Closure_176,100000,0,3
Closure_21,100000,0,1
Closure_23,100000,0,1
Closure_24,100000,0,1
Closure_27,1,6,7
Closure_29,100000,0,2
Closure_37,100000,0,1
Closure_38,100000,0,1
Closure_39,100000,0,1
Closure_43,100000,0,1
Closure_51,100000,0,1
Closure_56,100000,0,2
Closure_6,100000,0,1
Closure_66,100000,0,1
Closure_7,100000,0,1
Closure_77,100000,0,3
Closure_78,100000,0,2
Closure_79,100000,0,1
Closure_83,100000,0,1
Closure_9,100000,0,1
Closure_97,100000,0,6
Codec_10,100000,0,2
Codec_11,1,8,8
Codec_12,1,4,4
Codec_13,1,5,9
Codec_14,100000,0,1
Codec_15,100000,0,7
Codec_16,100000,0,1
Codec_17,1,6,7
Codec_18,2,1,2
Codec_3,1,3,9
Codec_4,1,3,3
Codec_5,100000,0,1
Codec_6,100000,0,3
Codec_7,1,2,2
Codec_8,2,1,4
Codec_9,100000,0,2
Collections_25,1,4,5
Collections_27,100000,0,2
Compress_10,100000,0,2
Compress_11,2,1,2
Compress_12,100000,0,2
Compress_13,100000,0,1
Compress_14,100000,0,4
Compress_15,100000,0,3
Compress_16,100000,0,1
Compress_17,100000,0,6
Compress_19,100000,0,3
Compress_20,100000,0,4
Compress_23,100000,0,2
Compress_26,100000,0,2
Compress_27,100000,0,1
Compress_3,100000,0,1
Compress_31,100000,0,3
Compress_32,100000,0,3
Compress_33,100000,0,3
Compress_34,100000,0,1
Compress_35,100000,0,3
Compress_36,100000,0,2
Compress_37,100000,0,4
Compress_38,100000,0,1
Compress_39,100000,0,2
Compress_40,100000,0,7
Compress_41,100000,0,3
Compress_42,100000,0,1
Compress_43,100000,0,1
Compress_44,100000,0,2
Compress_47,100000,0,2
Compress_5,100000,0,1
Compress_6,100000,0,1
Compress_7,2,1,3
Compress_8,100000,0,2
Compress_9,100000,0,4
Csv_1,100000,0,3
Csv_10,100000,0,1
Csv_12,100000,0,2
Csv_14,100000,0,1
Csv_15,100000,0,4
Csv_2,100000,0,4
Csv_4,1,1,3
Csv_5,1,4,6
Csv_8,1,2,5
Csv_9,2,1,2
Gson_13,2,3,8
Gson_15,1,2,2
Gson_18,1,2,4
Gson_5,1,1,3
Gson_7,1,1,3
JacksonCore_12,1,1,1
JacksonCore_16,100000,0,2
JacksonCore_19,1,4,5
JacksonCore_20,100000,0,2
JacksonCore_26,1,1,1
JacksonCore_3,100000,0,2
JacksonCore_5,1,6,6
JacksonCore_7,100000,0,5
JacksonCore_8,2,1,2
JacksonCore_9,100000,0,1
JacksonDatabind_100,100000,0,1
JacksonDatabind_102,1,1,2
JacksonDatabind_103,100000,0,5
JacksonDatabind_104,100000,0,2
JacksonDatabind_105,1,1,2
JacksonDatabind_107,100000,0,2
JacksonDatabind_108,100000,0,6
JacksonDatabind_109,100000,0,2
