bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,1,4,6
Chart_5,100000,0,5
Chart_9,1,7,7
Cli_17,3,1,6
Cli_18,2,1,4
Cli_20,100000,0,4
Cli_23,1,4,4
Cli_35,100000,0,4
Cli_39,100000,0,5
Cli_40,100000,0,3
Cli_5,3,1,5
Closure_151,100000,0,2
Closure_176,100000,0,3
Closure_27,1,6,7
Closure_78,100000,0,2
Closure_79,100000,0,1
Closure_97,100000,0,6
Codec_11,1,8,8
Codec_12,1,4,4
Codec_13,1,5,9
Codec_17,1,6,7
Codec_3,1,3,9
Codec_4,1,3,3
Codec_7,1,2,2
Collections_25,1,4,5
Compress_19,100000,0,3
Compress_37,100000,0,4
Compress_44,100000,0,2
Csv_15,100000,0,4
Csv_2,100000,0,4
Csv_4,1,1,3
Csv_5,1,4,6
Gson_13,2,3,8
Gson_15,1,2,2
Gson_18,1,2,4
Gson_7,1,1,3
JacksonCore_12,1,1,1
JacksonCore_19,1,4,5
JacksonCore_5,1,6,6
JacksonDatabind_103,100000,0,5
JacksonDatabind_108,100000,0,6
JacksonDatabind_110,100000,0,1
JacksonDatabind_17,1,2,2
JacksonDatabind_19,1,2,3
JacksonDatabind_39,100000,0,1
JacksonDatabind_42,1,3,3
JacksonDatabind_46,100000,0,6
JacksonDatabind_71,1,3,3
JacksonDatabind_83,1,3,4
JacksonDatabind_94,100000,0,5
JacksonDatabind_95,1,6,6
JacksonXml_5,1,2,4
Jsoup_1,1,2,2
Jsoup_12,1,3,10
Jsoup_14,1,2,2
Jsoup_17,1,5,8
Jsoup_18,100000,0,5
Jsoup_2,100000,0,4
Jsoup_21,1,4,9
Jsoup_23,1,3,3
Jsoup_26,1,6,9
Jsoup_28,100000,0,3
Jsoup_29,100000,0,4
Jsoup_31,100000,0,6
Jsoup_35,2,3,10
Jsoup_38,2,4,10
Jsoup_39,100000,0,6
Jsoup_4,1,4,6
Jsoup_40,1,5,10
Jsoup_5,1,4,5
Jsoup_52,100000,0,6
Jsoup_53,100000,0,6
Jsoup_54,1,3,3
Jsoup_56,1,7,9
Jsoup_57,1,4,4
Jsoup_58,1,3,4
Jsoup_59,100000,0,4
Jsoup_64,100000,0,8
Jsoup_67,1,2,2
Jsoup_69,1,8,10
Jsoup_70,1,3,3
Jsoup_71,100000,0,7
Jsoup_72,100000,0,6
Jsoup_74,1,3,3
Jsoup_75,2,3,4
Jsoup_77,1,5,6
Jsoup_79,1,2,6
Jsoup_80,1,1,2
Jsoup_82,1,2,7
Jsoup_83,1,7,10
Jsoup_85,100000,0,4
Jsoup_88,1,4,4
Jsoup_89,1,8,10
Jsoup_9,1,4,7
Jsoup_90,2,1,3
Jsoup_93,100000,0,3
JxPath_21,1,6,7
JxPath_5,100000,0,5
Lang_16,100000,0,4
Lang_17,1,2,2
Lang_18,100000,0,6
Lang_19,1,5,6
Lang_20,1,2,6
Lang_22,1,3,4
Lang_24,1,4,5
Lang_26,1,4,6
Lang_27,4,7,10
Lang_31,1,5,6
Lang_33,1,3,8
Lang_35,2,4,9
Lang_36,1,5,5
Lang_37,100000,0,8
Lang_38,1,2,2
Lang_39,1,2,4
Lang_40,100000,0,5
Lang_41,1,5,8
Lang_42,1,3,7
Lang_44,100000,0,4
Lang_46,1,5,5
Lang_47,1,6,8
Lang_48,100000,0,5
Lang_51,1,4,6
Lang_52,100000,0,2
Lang_54,1,5,9
Lang_56,1,2,3
Lang_57,1,8,8
Lang_58,1,6,6
Lang_6,1,1,1
Lang_61,1,1,1
Lang_62,1,6,6
Lang_7,100000,0,4
Math_1,1,4,7
Math_105,1,7,7
Math_106,2,3,5
Math_11,1,1,10
Math_15,1,5,7
Math_16,1,5,7
Math_2,1,4,7
Math_22,100000,0,4
Math_26,100000,0,8
Math_29,100000,0,9
Math_30,3,1,6
Math_41,100000,0,10
Math_43,1,2,4
Math_45,100000,0,6
Math_47,1,2,5
Math_48,100000,0,2
Math_49,1,3,4
Math_5,1,7,9
Math_50,100000,0,3
Math_54,1,4,5
Math_55,1,5,5
Math_59,1,7,9
Math_60,1,2,2
Math_63,1,5,5
Math_71,100000,0,2
Math_76,100000,0,8
Math_77,1,8,9
Math_79,1,6,6
Math_8,100000,0,2
Math_89,1,1,9
Math_90,9,1,9
Math_91,1,5,5
Math_92,1,2,2
Math_94,1,3,3
Math_95,2,3,4
Math_96,1,7,9
Math_98,1,3,5
Math_99,1,3,7
Time_10,1,4,4
Time_13,1,5,5
Time_14,2,2,6
Time_15,2,3,7
Time_18,1,5,7
Time_19,2,2,7
Time_3,1,2,2
Time_7,1,2,2
Time_8,1,1,6
Time_9,6,2,7
