bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_17,1,1,2
Cli_15,100000,0,1
Cli_17,100000,0,2
Cli_20,100000,0,1
Cli_26,100000,0,1
Cli_35,1,2,2
Cli_36,100000,0,1
Cli_39,100000,0,2
Closure_101,100000,0,1
Closure_105,100000,0,1
Closure_109,100000,0,1
Closure_112,100000,0,1
Closure_114,1,1,1
Closure_119,100000,0,1
Closure_12,100000,0,1
Closure_122,100000,0,1
Closure_123,100000,0,1
Closure_13,100000,0,1
Closure_143,100000,0,1
Closure_144,100000,0,1
Closure_153,100000,0,3
Closure_173,100000,0,5
Closure_175,100000,0,1
Closure_20,100000,0,5
Closure_27,2,1,4
Closure_28,100000,0,1
Closure_32,100000,0,6
Closure_42,100000,0,7
Closure_44,100000,0,5
Closure_47,100000,0,1
Closure_60,100000,0,1
Closure_62,100000,0,1
Closure_65,100000,0,4
Closure_66,100000,0,1
Closure_73,100000,0,4
Closure_75,100000,0,1
Closure_77,100000,0,1
Closure_78,100000,0,2
Closure_79,100000,0,1
Closure_87,100000,0,2
Closure_90,100000,0,1
Closure_91,100000,0,1
Closure_97,100000,0,3
Codec_10,100000,0,1
Codec_11,1,1,1
Codec_13,100000,0,1
Codec_15,100000,0,1
Codec_17,1,1,1
Codec_3,100000,0,1
Codec_9,100000,0,2
Collections_25,1,1,1
Compress_10,100000,0,2
Compress_12,100000,0,4
Compress_13,100000,0,2
Compress_14,100000,0,5
Compress_16,100000,0,1
Compress_17,100000,0,1
Compress_19,100000,0,1
Compress_20,100000,0,3
Compress_22,100000,0,1
Compress_24,100000,0,5
Compress_3,100000,0,1
Compress_31,100000,0,2
Compress_32,100000,0,5
Compress_35,100000,0,2
Compress_36,100000,0,1
Compress_38,100000,0,2
Compress_42,100000,0,1
Compress_7,100000,0,6
Compress_8,100000,0,2
Compress_9,100000,0,1
Csv_10,100000,0,1
Csv_11,100000,0,1
Csv_12,100000,0,1
Csv_14,100000,0,1
Csv_15,100000,0,1
Csv_5,100000,0,1
Csv_7,100000,0,1
Csv_8,100000,0,2
JacksonCore_16,100000,0,2
JacksonCore_20,100000,0,1
JacksonCore_5,1,1,1
JacksonCore_9,1,2,3
JacksonDatabind_102,1,2,2
JacksonDatabind_103,100000,0,4
JacksonDatabind_23,100000,0,2
JacksonDatabind_40,1,2,2
JacksonDatabind_56,1,4,4
JacksonDatabind_57,100000,0,1
JacksonDatabind_6,1,2,2
JacksonDatabind_60,100000,0,1
JacksonDatabind_74,100000,0,1
JacksonDatabind_81,100000,0,1
JacksonDatabind_87,100000,0,1
JacksonDatabind_88,100000,0,1
JacksonDatabind_89,100000,0,1
JacksonDatabind_95,1,1,1
JacksonXml_4,1,1,1
Jsoup_1,1,3,3
Jsoup_10,100000,0,3
Jsoup_11,1,1,2
Jsoup_15,100000,0,1
Jsoup_17,1,1,1
Jsoup_19,100000,0,2
Jsoup_2,100000,0,3
Jsoup_20,100000,0,6
Jsoup_21,2,1,2
Jsoup_24,100000,0,1
Jsoup_26,1,3,3
Jsoup_29,100000,0,7
Jsoup_30,100000,0,1
Jsoup_31,100000,0,6
Jsoup_35,1,1,1
Jsoup_38,2,1,2
Jsoup_39,100000,0,5
Jsoup_4,1,4,4
Jsoup_40,100000,0,1
Jsoup_43,100000,0,2
Jsoup_44,1,1,1
Jsoup_47,100000,0,4
Jsoup_52,100000,0,7
Jsoup_55,4,3,6
Jsoup_56,1,5,5
Jsoup_59,100000,0,1
Jsoup_6,100000,0,1
Jsoup_60,100000,0,1
Jsoup_61,1,1,1
Jsoup_62,100000,0,1
Jsoup_64,1,1,1
Jsoup_65,100000,0,2
Jsoup_66,100000,0,1
Jsoup_67,100000,0,1
Jsoup_69,1,1,1
Jsoup_70,1,1,2
Jsoup_71,100000,0,3
Jsoup_72,100000,0,3
Jsoup_75,1,1,1
Jsoup_77,1,1,1
Jsoup_78,100000,0,1
Jsoup_80,1,1,1
Jsoup_82,100000,0,1
Jsoup_83,1,4,4
Jsoup_88,1,1,1
Jsoup_89,100000,0,1
Jsoup_9,1,1,1
Jsoup_91,100000,0,3
Jsoup_92,1,2,2
JxPath_14,2,1,2
JxPath_4,100000,0,1
JxPath_9,100000,0,2
Lang_14,1,1,1
Lang_17,1,2,2
Lang_18,100000,0,1
Lang_19,1,2,2
Lang_22,1,1,1
Lang_24,1,1,1
Lang_25,1,2,2
Lang_27,1,2,2
Lang_3,100000,0,2
Lang_31,1,1,1
Lang_33,1,1,1
Lang_36,1,1,1
Lang_37,100000,0,1
Lang_40,100000,0,1
Lang_41,100000,0,2
Lang_5,100000,0,3
Lang_6,2,1,2
Lang_8,100000,0,2
Lang_9,100000,0,3
Math_102,1,1,2
Math_106,1,2,2
Math_11,1,4,4
Math_16,2,1,2
Math_26,100000,0,1
Math_27,2,1,2
Math_29,100000,0,2
Math_31,100000,0,1
Math_41,1,1,1
Math_43,100000,0,1
Math_47,1,1,1
Math_5,100000,0,1
Math_52,100000,0,1
Math_53,1,1,1
Math_55,1,1,1
Math_56,1,1,1
Math_59,1,2,2
Math_77,1,1,1
Math_78,100000,0,1
Math_8,100000,0,1
Math_80,1,2,2
Math_81,100000,0,1
Math_85,1,1,1
Math_89,100000,0,1
Math_91,1,5,5
Math_94,1,1,1
Math_98,100000,0,1
Math_99,1,1,1
Time_15,2,2,3
Time_16,100000,0,1
Time_17,2,3,4
Time_19,100000,0,3
Time_3,2,1,2
Time_5,100000,0,3
Time_8,1,3,6
Time_9,100000,0,4
