bug_id,first_success_rank,total_success_fibs,num_clusters
Cli_17,100000,0,2
Cli_39,100000,0,2
Closure_123,100000,0,1
Closure_173,100000,0,5
Closure_20,100000,0,5
Closure_27,2,1,4
Closure_32,100000,0,6
Closure_42,100000,0,7
Closure_44,100000,0,5
Closure_65,100000,0,4
Closure_73,100000,0,4
Closure_78,100000,0,2
Closure_97,100000,0,3
Codec_9,100000,0,2
Compress_13,100000,0,2
Compress_24,100000,0,5
Compress_32,100000,0,5
Compress_38,100000,0,2
Csv_10,100000,0,1
JacksonCore_9,1,2,3
JacksonDatabind_103,100000,0,4
JacksonDatabind_56,1,4,4
Jsoup_1,1,3,3
Jsoup_10,100000,0,3
Jsoup_2,100000,0,3
Jsoup_20,100000,0,6
Jsoup_26,1,3,3
Jsoup_29,100000,0,7
Jsoup_31,100000,0,6
Jsoup_39,100000,0,5
Jsoup_4,1,4,4
Jsoup_47,100000,0,4
Jsoup_52,100000,0,7
Jsoup_55,4,3,6
Jsoup_56,1,5,5
Jsoup_71,100000,0,3
Jsoup_72,100000,0,3
Jsoup_83,1,4,4
JxPath_9,100000,0,2
Lang_17,1,2,2
Lang_19,1,2,2
Lang_24,1,1,1
Lang_3,100000,0,2
Lang_41,100000,0,2
Lang_6,2,1,2
Lang_9,100000,0,3
Math_102,1,1,2
Math_106,1,2,2
Math_11,1,4,4
Math_59,1,2,2
Math_80,1,2,2
Math_91,1,5,5
Math_99,1,1,1
Time_17,2,3,4
Time_19,100000,0,3
Time_3,2,1,2
Time_5,100000,0,3
Time_8,1,3,6
Time_9,100000,0,4
