bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,1,5,6
Chart_17,1,5,5
Chart_2,100000,0,1
Chart_9,1,3,4
Cli_10,1,5,5
Cli_14,100000,0,6
Cli_15,100000,0,1
Cli_17,100000,0,2
Cli_18,100000,0,4
Cli_2,2,1,4
Cli_20,100000,0,3
Cli_23,3,2,5
Cli_26,100000,0,3
Cli_29,100000,0,6
Cli_32,100000,0,2
Cli_33,100000,0,4
Cli_35,2,2,7
Cli_36,3,1,4
Cli_39,100000,0,6
Cli_40,1,2,4
Cli_5,1,2,2
Cli_7,100000,0,2
Cli_8,100000,0,5
Closure_1,100000,0,3
Closure_102,100000,0,4
Closure_103,100000,0,2
Closure_105,100000,0,6
Closure_106,100000,0,4
Closure_116,100000,0,2
Closure_117,100000,0,1
Closure_12,100000,0,1
Closure_122,100000,0,2
Closure_123,100000,0,4
Closure_124,100000,0,5
Closure_125,100000,0,1
Closure_128,100000,0,2
Closure_13,100000,0,7
Closure_131,100000,0,3
Closure_136,100000,0,1
Closure_14,100000,0,3
Closure_142,100000,0,1
Closure_143,100000,0,2
Closure_144,100000,0,2
Closure_153,100000,0,5
Closure_159,100000,0,1
Closure_161,100000,0,3
Closure_163,100000,0,2
Closure_165,100000,0,1
Closure_170,100000,0,6
Closure_171,100000,0,2
Closure_173,100000,0,3
Closure_174,100000,0,1
Closure_175,100000,0,3
Closure_176,100000,0,1
Closure_20,100000,0,2
Closure_26,100000,0,2
Closure_27,2,5,10
Closure_29,100000,0,4
Closure_3,100000,0,6
Closure_32,100000,0,6
Closure_34,100000,0,2
Closure_36,100000,0,3
Closure_37,100000,0,1
Closure_38,100000,0,2
Closure_39,100000,0,2
Closure_42,100000,0,9
Closure_44,100000,0,9
Closure_45,100000,0,2
Closure_47,100000,0,1
Closure_49,100000,0,1
Closure_50,100000,0,1
Closure_53,100000,0,3
Closure_55,100000,0,6
Closure_56,100000,0,3
Closure_58,100000,0,1
Closure_59,100000,0,1
Closure_62,100000,0,1
Closure_64,100000,0,2
Closure_65,100000,0,2
Closure_67,100000,0,2
Closure_70,100000,0,1
Closure_73,100000,0,3
Closure_75,100000,0,5
Closure_77,100000,0,3
Closure_78,100000,0,4
Closure_79,100000,0,2
Closure_82,100000,0,1
Closure_85,100000,0,2
Closure_87,100000,0,8
Closure_88,100000,0,4
Closure_9,100000,0,1
Closure_94,100000,0,1
Closure_96,100000,0,1
Closure_97,100000,0,2
Codec_1,100000,0,4
Codec_11,1,2,2
Codec_12,1,6,6
Codec_13,1,1,3
Codec_14,100000,0,2
Codec_15,100000,0,2
Codec_17,1,3,3
Codec_3,100000,0,4
Codec_4,3,2,5
Codec_7,1,3,3
Codec_8,100000,0,6
Codec_9,100000,0,9
Collections_25,1,3,5
Collections_27,100000,0,1
Compress_10,100000,0,5
Compress_12,100000,0,7
Compress_13,100000,0,2
Compress_14,100000,0,8
Compress_15,100000,0,3
Compress_17,100000,0,2
Compress_18,100000,0,2
Compress_19,100000,0,2
Compress_20,100000,0,3
Compress_22,100000,0,6
Compress_24,100000,0,4
Compress_25,2,3,5
Compress_26,100000,0,2
Compress_30,1,3,3
Compress_31,100000,0,3
Compress_32,100000,0,2
Compress_35,100000,0,6
Compress_36,100000,0,2
Compress_37,100000,0,1
Compress_38,100000,0,4
Compress_40,100000,0,7
Compress_41,100000,0,3
Compress_42,100000,0,5
Compress_46,100000,0,3
Compress_5,100000,0,2
Compress_7,100000,0,8
Compress_8,100000,0,5
Compress_9,100000,0,2
Csv_10,1,2,6
Csv_11,100000,0,1
Csv_14,100000,0,3
Csv_15,1,3,5
Csv_16,100000,0,3
Csv_2,100000,0,1
Csv_5,1,3,4
Csv_8,1,7,9
Csv_9,100000,0,2
Gson_10,1,5,5
Gson_13,1,1,6
Gson_15,1,3,4
Gson_5,100000,0,2
Gson_7,1,1,1
JacksonCore_1,1,1,1
JacksonCore_12,1,2,7
JacksonCore_16,100000,0,7
JacksonCore_17,100000,0,3
JacksonCore_19,1,2,3
JacksonCore_20,1,4,8
JacksonCore_21,100000,0,1
JacksonCore_23,100000,0,3
JacksonCore_24,100000,0,1
JacksonCore_5,1,3,4
JacksonCore_7,5,1,5
JacksonCore_8,100000,0,1
JacksonCore_9,4,3,6
JacksonDatabind_1,1,1,1
JacksonDatabind_102,1,5,5
JacksonDatabind_103,100000,0,2
JacksonDatabind_104,100000,0,6
JacksonDatabind_107,100000,0,2
JacksonDatabind_110,100000,0,1
JacksonDatabind_112,100000,0,2
JacksonDatabind_13,100000,0,3
JacksonDatabind_16,1,1,1
JacksonDatabind_17,1,1,1
JacksonDatabind_18,100000,0,1
JacksonDatabind_19,4,1,4
JacksonDatabind_21,100000,0,1
JacksonDatabind_26,100000,0,2
JacksonDatabind_3,1,6,6
JacksonDatabind_36,100000,0,1
JacksonDatabind_37,100000,0,1
JacksonDatabind_40,1,1,1
JacksonDatabind_41,100000,0,1
JacksonDatabind_42,1,3,3
JacksonDatabind_46,100000,0,5
JacksonDatabind_48,1,2,2
JacksonDatabind_50,100000,0,1
JacksonDatabind_52,100000,0,1
JacksonDatabind_56,1,4,6
JacksonDatabind_57,100000,0,2
JacksonDatabind_6,2,2,9
JacksonDatabind_62,1,3,5
JacksonDatabind_64,100000,0,1
JacksonDatabind_68,1,1,1
JacksonDatabind_71,1,3,3
