bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,1,5,6
Chart_17,1,5,5
Chart_9,1,3,4
Cli_10,1,5,5
Cli_14,100000,0,6
Cli_18,100000,0,4
Cli_2,2,1,4
Cli_23,3,2,5
Cli_29,100000,0,6
Cli_36,3,1,4
Cli_39,100000,0,6
Cli_5,1,2,2
Cli_7,100000,0,2
Cli_8,100000,0,5
Closure_1,100000,0,3
Closure_102,100000,0,4
Closure_105,100000,0,6
Closure_106,100000,0,4
Closure_123,100000,0,4
Closure_124,100000,0,5
Closure_128,100000,0,2
Closure_13,100000,0,7
Closure_14,100000,0,3
Closure_144,100000,0,2
Closure_153,100000,0,5
Closure_161,100000,0,3
Closure_170,100000,0,6
Closure_171,100000,0,2
Closure_173,100000,0,3
Closure_20,100000,0,2
Closure_27,2,5,10
Closure_32,100000,0,6
Closure_42,100000,0,9
Closure_44,100000,0,9
Closure_45,100000,0,2
Closure_55,100000,0,6
Closure_59,100000,0,1
Closure_64,100000,0,2
Closure_65,100000,0,2
Closure_73,100000,0,3
Closure_75,100000,0,5
Closure_77,100000,0,3
Closure_87,100000,0,8
Codec_12,1,6,6
Codec_13,1,1,3
Codec_17,1,3,3
Codec_3,100000,0,4
Codec_4,3,2,5
Codec_7,1,3,3
Codec_9,100000,0,9
Collections_25,1,3,5
Compress_10,100000,0,5
Compress_12,100000,0,7
Compress_14,100000,0,8
Compress_22,100000,0,6
Compress_24,100000,0,4
Compress_30,1,3,3
Compress_38,100000,0,4
Compress_40,100000,0,7
Compress_42,100000,0,5
Compress_46,100000,0,3
Compress_8,100000,0,5
Compress_9,100000,0,2
Csv_10,1,2,6
Csv_14,100000,0,3
Csv_15,1,3,5
Csv_16,100000,0,3
Csv_5,1,3,4
Csv_8,1,7,9
Gson_10,1,5,5
Gson_13,1,1,6
Gson_15,1,3,4
Gson_7,1,1,1
JacksonCore_12,1,2,7
JacksonCore_16,100000,0,7
JacksonCore_19,1,2,3
JacksonCore_20,1,4,8
JacksonCore_5,1,3,4
JacksonCore_7,5,1,5
JacksonCore_9,4,3,6
JacksonDatabind_102,1,5,5
JacksonDatabind_103,100000,0,2
JacksonDatabind_110,100000,0,1
JacksonDatabind_16,1,1,1
JacksonDatabind_26,100000,0,2
JacksonDatabind_3,1,6,6
JacksonDatabind_42,1,3,3
JacksonDatabind_46,100000,0,5
JacksonDatabind_48,1,2,2
JacksonDatabind_56,1,4,6
JacksonDatabind_57,100000,0,2
JacksonDatabind_6,2,2,9
JacksonDatabind_62,1,3,5
JacksonDatabind_74,100000,0,3
JacksonDatabind_83,100000,0,6
JacksonDatabind_87,1,6,7
JacksonDatabind_92,100000,0,2
Jsoup_1,1,2,2
Jsoup_10,100000,0,7
Jsoup_12,4,1,4
Jsoup_14,1,4,4
Jsoup_15,100000,0,4
Jsoup_17,1,4,6
Jsoup_19,100000,0,6
Jsoup_2,4,1,6
Jsoup_21,5,2,9
Jsoup_23,1,2,2
Jsoup_24,100000,0,8
Jsoup_26,1,8,9
Jsoup_28,100000,0,4
Jsoup_29,100000,0,5
Jsoup_31,100000,0,10
Jsoup_38,2,1,9
Jsoup_39,100000,0,9
Jsoup_4,1,5,5
Jsoup_42,1,8,8
Jsoup_43,100000,0,6
Jsoup_44,1,4,4
Jsoup_47,100000,0,10
Jsoup_5,2,4,6
Jsoup_52,100000,0,5
Jsoup_55,1,1,3
Jsoup_56,1,8,10
Jsoup_58,1,2,6
Jsoup_59,100000,0,6
Jsoup_60,100000,0,7
Jsoup_61,1,2,2
Jsoup_62,4,4,8
Jsoup_64,100000,0,6
Jsoup_65,100000,0,2
Jsoup_66,4,1,6
Jsoup_67,100000,0,4
Jsoup_69,1,6,6
Jsoup_7,100000,0,9
Jsoup_70,2,7,10
Jsoup_71,100000,0,8
Jsoup_72,100000,0,9
Jsoup_74,1,2,4
Jsoup_75,1,5,5
Jsoup_77,1,2,2
Jsoup_78,100000,0,4
Jsoup_82,1,1,7
Jsoup_83,1,8,8
Jsoup_86,100000,0,4
Jsoup_87,100000,0,5
Jsoup_88,1,5,5
Jsoup_92,2,1,4
Jsoup_93,100000,0,1
JxPath_14,2,2,3
JxPath_21,1,1,4
JxPath_8,100000,0,1
JxPath_9,100000,0,2
Lang_1,1,2,2
Lang_15,1,2,2
Lang_17,1,2,2
Lang_18,100000,0,7
Lang_19,1,5,5
Lang_20,100000,0,3
Lang_21,100000,0,1
Lang_22,1,3,4
Lang_24,1,2,2
Lang_25,3,2,7
Lang_27,1,6,7
Lang_3,100000,0,10
Lang_31,1,3,3
Lang_36,1,1,1
Lang_38,1,1,1
Lang_39,100000,0,2
Lang_40,100000,0,3
Lang_41,100000,0,2
Lang_42,1,5,5
Lang_46,1,3,3
Lang_48,1,4,4
Lang_51,1,3,3
Lang_52,100000,0,3
Lang_53,2,2,9
Lang_54,1,3,3
Lang_55,5,3,8
Lang_56,1,5,5
Lang_57,2,1,2
Lang_61,1,3,3
Lang_62,2,2,5
Lang_63,100000,0,9
Lang_8,100000,0,6
Lang_9,100000,0,8
Math_1,1,3,4
Math_101,100000,0,6
Math_102,1,3,4
Math_105,1,4,4
Math_106,1,4,7
Math_11,1,2,2
Math_15,100000,0,2
Math_16,1,7,8
Math_2,1,7,8
Math_26,100000,0,6
Math_29,100000,0,5
Math_3,1,7,8
Math_30,1,5,7
