bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_5,100000,0,1
Cli_17,2,1,2
Cli_20,100000,0,1
Cli_23,2,1,2
Cli_32,100000,0,2
Cli_33,100000,0,1
Cli_34,1,1,1
Cli_35,100000,0,2
Cli_36,100000,0,2
Cli_8,100000,0,1
Closure_105,100000,0,1
Closure_114,100000,0,2
Closure_12,100000,0,1
Closure_128,100000,0,1
Closure_13,100000,0,2
Closure_153,100000,0,1
Closure_161,100000,0,1
Closure_163,100000,0,1
Closure_173,100000,0,5
Closure_175,100000,0,1
Closure_20,100000,0,2
Closure_27,100000,0,1
Closure_29,100000,0,1
Closure_30,100000,0,2
Closure_32,100000,0,3
Closure_38,100000,0,1
Closure_42,100000,0,10
Closure_43,100000,0,1
Closure_44,100000,0,7
Closure_47,100000,0,2
Closure_49,100000,0,2
Closure_65,100000,0,1
Closure_73,100000,0,4
Closure_75,100000,0,2
Closure_77,100000,0,2
Closure_78,100000,0,1
Closure_8,100000,0,3
Closure_82,100000,0,1
Closure_83,100000,0,1
Closure_87,100000,0,2
Closure_97,100000,0,3
Codec_11,1,1,1
Codec_13,100000,0,2
Codec_15,100000,0,1
Codec_17,1,1,1
Codec_7,1,1,1
Codec_9,100000,0,1
Compress_10,100000,0,1
Compress_12,100000,0,3
Compress_13,100000,0,1
Compress_17,100000,0,1
Compress_18,100000,0,2
Compress_19,100000,0,1
Compress_22,100000,0,2
Compress_24,100000,0,4
Compress_31,100000,0,5
Compress_32,100000,0,3
Compress_36,100000,0,1
Compress_38,100000,0,2
Compress_41,100000,0,2
Compress_47,100000,0,1
Compress_5,100000,0,1
Compress_7,100000,0,6
Compress_8,100000,0,3
Csv_10,100000,0,2
Csv_13,100000,0,1
Csv_15,1,1,1
Csv_5,100000,0,1
Csv_8,1,1,2
Gson_13,1,2,2
Gson_15,1,1,1
Gson_7,1,1,1
JacksonCore_16,100000,0,2
JacksonCore_17,100000,0,1
JacksonCore_20,1,1,2
JacksonCore_5,1,1,1
JacksonCore_7,100000,0,1
JacksonCore_9,1,3,3
JacksonDatabind_102,1,3,4
JacksonDatabind_103,100000,0,2
JacksonDatabind_13,100000,0,1
JacksonDatabind_40,1,2,2
JacksonDatabind_56,1,1,2
JacksonDatabind_6,1,2,2
JacksonDatabind_8,100000,0,1
JacksonDatabind_81,100000,0,1
JacksonDatabind_87,100000,0,2
JacksonDatabind_95,1,1,2
JacksonDatabind_96,100000,0,2
JacksonXml_3,100000,0,3
Jsoup_1,1,2,2
Jsoup_10,100000,0,5
Jsoup_11,100000,0,1
Jsoup_17,1,3,4
Jsoup_19,100000,0,2
Jsoup_2,100000,0,1
Jsoup_20,100000,0,3
Jsoup_21,2,1,2
Jsoup_24,100000,0,4
Jsoup_25,100000,0,1
Jsoup_26,1,2,2
Jsoup_29,100000,0,6
Jsoup_31,100000,0,7
Jsoup_33,100000,0,1
Jsoup_34,100000,0,4
Jsoup_38,4,1,5
Jsoup_39,100000,0,7
Jsoup_4,1,3,3
Jsoup_40,1,1,1
Jsoup_43,100000,0,1
Jsoup_47,100000,0,3
Jsoup_51,100000,0,1
Jsoup_52,100000,0,5
Jsoup_55,1,1,3
Jsoup_56,1,5,5
Jsoup_59,100000,0,2
Jsoup_62,100000,0,2
Jsoup_64,100000,0,2
Jsoup_66,1,1,1
Jsoup_68,100000,0,1
Jsoup_69,2,1,2
Jsoup_7,100000,0,4
Jsoup_70,1,3,3
Jsoup_71,100000,0,3
Jsoup_72,100000,0,3
Jsoup_77,1,3,3
Jsoup_81,100000,0,1
Jsoup_82,100000,0,1
Jsoup_83,1,4,4
Jsoup_84,1,1,1
Jsoup_86,100000,0,1
Jsoup_88,1,1,1
Jsoup_91,100000,0,3
Jsoup_92,100000,0,2
JxPath_8,100000,0,1
Lang_11,100000,0,1
Lang_18,100000,0,4
Lang_19,1,2,2
Lang_25,2,1,2
Lang_27,1,3,4
Lang_3,100000,0,3
Lang_31,1,1,1
Lang_36,1,1,1
Lang_38,1,1,1
Lang_40,100000,0,1
Lang_41,100000,0,1
Lang_5,100000,0,2
Lang_7,100000,0,1
Lang_9,100000,0,6
Math_1,1,1,1
Math_101,100000,0,3
Math_102,1,1,2
Math_105,1,2,2
Math_11,1,3,3
Math_26,100000,0,1
Math_27,1,2,2
Math_29,100000,0,1
Math_3,1,1,1
Math_38,100000,0,1
Math_40,100000,0,1
Math_47,100000,0,1
Math_50,100000,0,1
Math_52,100000,0,1
Math_53,1,1,1
Math_55,1,3,3
Math_59,1,2,2
Math_78,100000,0,1
Math_80,1,1,1
Math_81,100000,0,1
Math_85,100000,0,1
Math_91,1,5,6
Math_93,1,1,1
Math_94,1,1,1
Math_99,1,1,2
Mockito_18,100000,0,1
Mockito_9,100000,0,1
Time_10,100000,0,4
Time_14,100000,0,1
Time_16,100000,0,2
Time_17,1,1,1
Time_18,1,2,2
Time_19,2,1,3
Time_2,1,2,2
Time_3,2,3,5
Time_5,1,1,1
Time_8,1,5,6
Time_9,4,1,4
