bug_id,first_success_rank,total_success_fibs,num_clusters
Cli_17,2,1,2
Cli_36,100000,0,2
Closure_20,100000,0,2
Closure_32,100000,0,3
Closure_42,100000,0,10
Closure_49,100000,0,2
Closure_65,100000,0,1
Closure_73,100000,0,4
Closure_97,100000,0,3
Codec_13,100000,0,2
Codec_17,1,1,1
Compress_24,100000,0,4
Csv_10,100000,0,2
JacksonCore_20,1,1,2
JacksonDatabind_102,1,3,4
Jsoup_1,1,2,2
Jsoup_10,100000,0,5
Jsoup_17,1,3,4
Jsoup_20,100000,0,3
Jsoup_21,2,1,2
Jsoup_24,100000,0,4
Jsoup_26,1,2,2
Jsoup_29,100000,0,6
Jsoup_31,100000,0,7
Jsoup_38,4,1,5
Jsoup_39,100000,0,7
Jsoup_4,1,3,3
Jsoup_52,100000,0,5
Jsoup_55,1,1,3
Jsoup_56,1,5,5
Jsoup_59,100000,0,2
Jsoup_62,100000,0,2
Jsoup_64,100000,0,2
Jsoup_7,100000,0,4
Jsoup_70,1,3,3
Jsoup_77,1,3,3
Jsoup_83,1,4,4
Jsoup_88,1,1,1
Lang_18,100000,0,4
Lang_27,1,3,4
Lang_3,100000,0,3
Lang_36,1,1,1
Lang_40,100000,0,1
Lang_9,100000,0,6
Math_105,1,2,2
Math_11,1,3,3
Math_53,1,1,1
Math_55,1,3,3
Math_59,1,2,2
Math_91,1,5,6
Time_17,1,1,1
Time_18,1,2,2
Time_19,2,1,3
Time_2,1,2,2
Time_3,2,3,5
Time_8,1,5,6
