bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,1
Chart_9,1,3,4
Cli_2,100000,0,1
Cli_23,1,2,2
Cli_31,100000,0,1
Cli_35,100000,0,1
Closure_10,100000,0,1
Closure_101,100000,0,4
Closure_107,100000,0,1
Closure_108,100000,0,1
Closure_118,100000,0,1
Closure_131,100000,0,2
Closure_141,100000,0,2
Closure_144,100000,0,3
Closure_146,100000,0,1
Closure_158,100000,0,4
Closure_172,100000,0,1
Closure_173,100000,0,1
Closure_174,100000,0,1
Closure_21,100000,0,1
Closure_22,100000,0,1
Closure_23,100000,0,1
Closure_27,1,5,6
Closure_3,100000,0,1
Closure_37,100000,0,1
Closure_38,100000,0,1
Closure_42,100000,0,3
Closure_47,100000,0,1
Closure_5,100000,0,1
Closure_51,100000,0,1
Closure_53,100000,0,1
Closure_59,100000,0,1
Closure_60,100000,0,4
Closure_73,100000,0,2
Closure_77,100000,0,3
Closure_78,100000,0,6
Closure_81,100000,0,2
Closure_83,100000,0,1
Closure_85,100000,0,1
Closure_88,100000,0,1
Closure_98,100000,0,2
Codec_10,100000,0,1
Codec_13,1,3,5
Codec_17,1,2,3
Codec_18,100000,0,5
Codec_7,1,3,3
Codec_9,100000,0,2
Compress_17,100000,0,1
Compress_41,100000,0,1
Compress_44,100000,0,4
Compress_46,100000,0,1
Compress_6,100000,0,1
Compress_7,100000,0,1
Compress_8,100000,0,2
Csv_15,100000,0,1
Csv_5,1,1,2
Gson_1,100000,0,2
Gson_7,1,1,1
JacksonCore_5,1,1,1
JacksonCore_8,100000,0,4
JacksonDatabind_42,100000,0,1
JacksonDatabind_46,100000,0,1
JacksonDatabind_8,100000,0,1
Jsoup_1,1,3,4
Jsoup_10,100000,0,1
Jsoup_12,100000,0,5
Jsoup_17,100000,0,1
Jsoup_18,100000,0,1
Jsoup_2,100000,0,1
Jsoup_20,100000,0,1
Jsoup_21,2,1,3
Jsoup_23,1,2,2
Jsoup_24,100000,0,2
Jsoup_25,100000,0,2
Jsoup_3,100000,0,1
Jsoup_31,100000,0,4
Jsoup_34,100000,0,2
Jsoup_35,100000,0,3
Jsoup_36,100000,0,1
Jsoup_38,1,1,1
Jsoup_39,100000,0,1
Jsoup_4,1,1,1
Jsoup_40,1,2,5
Jsoup_47,100000,0,4
Jsoup_5,1,1,1
Jsoup_53,100000,0,2
Jsoup_56,100000,0,4
Jsoup_59,100000,0,1
Jsoup_6,100000,0,4
Jsoup_60,100000,0,2
Jsoup_62,100000,0,3
Jsoup_65,100000,0,1
Jsoup_66,100000,0,2
Jsoup_68,100000,0,1
Jsoup_7,100000,0,1
Jsoup_73,100000,0,3
Jsoup_74,2,1,4
Jsoup_75,4,1,4
Jsoup_77,1,8,8
Jsoup_80,1,2,2
Jsoup_82,100000,0,2
Jsoup_83,100000,0,3
Jsoup_84,100000,0,1
Jsoup_86,100000,0,3
Jsoup_88,100000,0,2
Jsoup_89,100000,0,2
Jsoup_9,100000,0,1
Jsoup_90,100000,0,1
Jsoup_91,100000,0,3
Jsoup_92,100000,0,6
JxPath_21,100000,0,1
JxPath_6,100000,0,6
JxPath_8,100000,0,5
JxPath_9,100000,0,5
Lang_1,1,3,4
Lang_12,100000,0,4
Lang_14,100000,0,4
Lang_15,100000,0,1
Lang_16,100000,0,4
Lang_17,1,2,3
Lang_18,100000,0,2
Lang_19,5,1,5
Lang_20,1,5,9
Lang_21,100000,0,5
Lang_22,1,2,3
Lang_23,100000,0,3
Lang_24,100000,0,2
Lang_26,100000,0,2
Lang_27,8,1,8
Lang_29,100000,0,1
Lang_3,100000,0,4
Lang_31,100000,0,3
Lang_33,1,2,5
Lang_34,100000,0,1
Lang_35,100000,0,2
Lang_36,1,2,5
Lang_37,6,1,6
Lang_39,100000,0,7
Lang_40,100000,0,3
Lang_5,100000,0,3
Lang_6,1,2,2
Lang_7,100000,0,4
Lang_8,100000,0,1
Lang_9,100000,0,1
Math_1,1,3,7
Math_10,100000,0,2
Math_105,1,4,4
Math_11,1,5,5
Math_15,100000,0,8
Math_16,2,1,8
Math_27,100000,0,2
Math_29,100000,0,1
Math_3,1,1,2
Math_36,100000,0,4
Math_43,3,1,3
Math_47,100000,0,1
Math_48,100000,0,1
Math_49,1,2,2
Math_5,100000,0,3
Math_50,100000,0,3
Math_53,100000,0,1
Math_54,100000,0,1
Math_55,3,2,5
Math_59,1,1,3
Math_6,100000,0,1
Math_63,100000,0,1
Math_75,100000,0,1
Math_76,100000,0,1
Math_77,100000,0,2
Math_8,1,1,3
Math_89,100000,0,2
Math_90,100000,0,3
Math_93,100000,0,5
Math_94,100000,0,1
Math_96,100000,0,1
Math_99,100000,0,2
Mockito_10,1,1,1
Mockito_11,100000,0,1
Mockito_18,100000,0,1
Mockito_2,100000,0,3
Time_10,1,3,5
Time_13,100000,0,3
Time_15,100000,0,1
Time_16,100000,0,5
Time_18,1,4,7
Time_19,100000,0,1
Time_2,100000,0,1
Time_5,100000,0,1
Time_7,1,3,5
Time_8,100000,0,2
Time_9,100000,0,4
