bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_9,1,3,4
Cli_2,100000,0,1
Cli_23,1,2,2
Closure_101,100000,0,4
Closure_107,100000,0,1
Closure_131,100000,0,2
Closure_27,1,5,6
Closure_60,100000,0,4
Closure_77,100000,0,3
Closure_78,100000,0,6
Closure_98,100000,0,2
Codec_13,1,3,5
Codec_17,1,2,3
Codec_18,100000,0,5
Codec_7,1,3,3
Compress_44,100000,0,4
Gson_7,1,1,1
JacksonCore_5,1,1,1
JacksonCore_8,100000,0,4
Jsoup_1,1,3,4
Jsoup_12,100000,0,5
Jsoup_21,2,1,3
Jsoup_23,1,2,2
Jsoup_25,100000,0,2
Jsoup_31,100000,0,4
Jsoup_40,1,2,5
Jsoup_5,1,1,1
Jsoup_53,100000,0,2
Jsoup_56,100000,0,4
Jsoup_6,100000,0,4
Jsoup_74,2,1,4
Jsoup_77,1,8,8
Jsoup_80,1,2,2
Jsoup_82,100000,0,2
Jsoup_83,100000,0,3
Jsoup_88,100000,0,2
Jsoup_92,100000,0,6
JxPath_8,100000,0,5
JxPath_9,100000,0,5
Lang_1,1,3,4
Lang_12,100000,0,4
Lang_14,100000,0,4
Lang_16,100000,0,4
Lang_19,5,1,5
Lang_20,1,5,9
Lang_21,100000,0,5
Lang_22,1,2,3
Lang_23,100000,0,3
Lang_24,100000,0,2
Lang_27,8,1,8
Lang_31,100000,0,3
Lang_33,1,2,5
Lang_35,100000,0,2
Lang_36,1,2,5
Lang_37,6,1,6
Lang_39,100000,0,7
Lang_6,1,2,2
Math_1,1,3,7
Math_10,100000,0,2
Math_105,1,4,4
Math_11,1,5,5
Math_15,100000,0,8
Math_16,2,1,8
Math_49,1,2,2
Math_55,3,2,5
Math_59,1,1,3
Math_8,1,1,3
Math_90,100000,0,3
Math_93,100000,0,5
Math_99,100000,0,2
Mockito_2,100000,0,3
Time_10,1,3,5
Time_13,100000,0,3
Time_18,1,4,7
Time_7,1,3,5
Time_9,100000,0,4
