bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,2
Chart_5,1,3,5
Chart_9,1,3,3
Cli_2,2,1,6
Cli_23,1,3,6
Cli_29,1,2,2
Cli_39,100000,0,2
Cli_5,100000,0,2
Cli_9,100000,0,2
Closure_173,100000,0,3
Closure_2,100000,0,1
Closure_27,1,9,9
Closure_60,100000,0,2
Closure_62,100000,0,2
Closure_72,100000,0,3
Codec_12,1,7,7
Codec_13,1,3,7
Codec_17,1,4,4
Codec_7,1,6,7
Compress_19,100000,0,4
Compress_24,100000,0,5
Compress_27,100000,0,7
Compress_32,100000,0,3
Compress_38,100000,0,4
Compress_42,100000,0,5
Compress_44,100000,0,2
Csv_16,100000,0,3
Csv_2,100000,0,4
Csv_5,1,3,4
Gson_13,1,1,3
Gson_18,100000,0,3
Gson_7,1,3,3
JacksonCore_12,1,2,2
JacksonCore_19,1,1,1
JacksonCore_5,2,3,4
JacksonCore_7,100000,0,6
JacksonCore_8,100000,0,4
JacksonCore_9,1,3,6
JacksonDatabind_104,100000,0,3
JacksonDatabind_108,100000,0,6
JacksonDatabind_110,100000,0,2
JacksonDatabind_17,1,2,2
JacksonDatabind_26,100000,0,4
JacksonDatabind_42,1,4,4
JacksonDatabind_46,100000,0,3
JacksonDatabind_62,1,2,2
JacksonDatabind_68,1,2,3
JacksonDatabind_83,1,2,2
JacksonDatabind_87,100000,0,4
JacksonDatabind_94,100000,0,3
JacksonDatabind_95,1,4,4
Jsoup_1,1,3,3
Jsoup_23,1,2,2
Jsoup_26,1,7,7
Jsoup_28,4,1,6
Jsoup_29,100000,0,2
Jsoup_31,100000,0,7
Jsoup_35,1,2,4
Jsoup_36,100000,0,4
Jsoup_38,1,3,7
Jsoup_4,1,5,5
Jsoup_40,1,3,4
Jsoup_5,1,4,9
Jsoup_52,100000,0,4
Jsoup_56,2,1,6
Jsoup_58,1,4,7
Jsoup_62,1,4,6
Jsoup_64,2,2,6
Jsoup_67,2,1,3
Jsoup_72,100000,0,3
Jsoup_73,100000,0,3
Jsoup_74,1,5,5
Jsoup_75,1,6,7
Jsoup_76,5,1,6
Jsoup_77,1,5,5
Jsoup_80,1,1,1
Jsoup_81,1,3,4
Jsoup_82,1,4,6
Jsoup_83,1,5,7
Jsoup_85,100000,0,3
Jsoup_88,1,3,3
JxPath_14,1,2,2
JxPath_21,1,3,3
JxPath_8,100000,0,3
JxPath_9,100000,0,4
Lang_1,1,1,1
Lang_13,1,4,4
Lang_14,3,1,3
Lang_17,1,3,3
Lang_19,4,2,6
Lang_20,1,3,4
Lang_22,1,3,4
Lang_24,1,2,4
Lang_27,1,8,9
Lang_31,1,5,7
Lang_33,1,1,4
Lang_35,100000,0,3
Lang_36,2,2,5
Lang_37,100000,0,5
Lang_38,1,5,6
Lang_39,100000,0,7
Lang_41,100000,0,3
Lang_5,100000,0,7
Lang_6,1,2,2
Lang_7,100000,0,3
Lang_8,100000,0,7
Math_1,1,4,8
Math_101,100000,0,3
Math_105,1,8,8
Math_11,1,5,7
Math_15,1,5,7
Math_16,2,2,6
Math_2,4,1,4
Math_22,100000,0,3
Math_27,100000,0,7
Math_29,100000,0,4
Math_35,100000,0,3
Math_36,100000,0,3
Math_41,4,1,6
Math_43,1,3,9
Math_45,100000,0,4
Math_48,100000,0,6
Math_49,1,4,8
Math_5,1,6,10
Math_50,100000,0,7
Math_54,3,1,6
Math_55,2,2,5
Math_56,100000,0,2
Math_59,1,6,8
Math_60,1,3,3
Math_63,100000,0,2
Math_76,100000,0,4
Math_77,2,4,7
Math_79,1,9,9
Math_8,1,3,6
Math_89,100000,0,3
Math_90,100000,0,3
Math_92,1,5,6
Math_96,4,3,8
Math_99,2,3,5
Mockito_10,100000,0,4
Mockito_8,1,4,4
Time_10,1,6,7
Time_13,1,4,6
Time_14,1,4,4
Time_15,100000,0,3
Time_18,1,4,7
Time_19,2,2,8
Time_2,100000,0,2
Time_3,100000,0,2
Time_5,100000,0,3
Time_7,1,2,2
