bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_1,3,1,3
Chart_11,2,1,2
Chart_5,2,3,6
Chart_9,1,1,2
Cli_10,100000,0,6
Cli_14,100000,0,1
Cli_2,100000,0,1
Cli_23,1,2,8
Cli_26,100000,0,5
Cli_28,1,1,1
Cli_29,1,1,3
Cli_31,100000,0,3
Cli_35,1,2,4
Cli_40,100000,0,1
Cli_5,2,1,2
Cli_8,100000,0,2
Cli_9,100000,0,1
Closure_1,100000,0,1
Closure_10,100000,0,1
Closure_101,100000,0,1
Closure_103,100000,0,1
Closure_105,100000,0,1
Closure_111,100000,0,1
Closure_123,100000,0,1
Closure_125,100000,0,1
Closure_13,100000,0,1
Closure_132,100000,0,1
Closure_14,100000,0,1
Closure_141,100000,0,1
Closure_142,100000,0,1
Closure_151,100000,0,1
Closure_173,100000,0,2
Closure_19,100000,0,1
Closure_21,100000,0,1
Closure_23,100000,0,1
Closure_27,2,4,5
Closure_38,100000,0,1
Closure_41,100000,0,1
Closure_44,100000,0,2
Closure_49,100000,0,1
Closure_51,100000,0,1
Closure_53,100000,0,1
Closure_60,100000,0,1
Closure_65,100000,0,5
Closure_69,100000,0,2
Closure_70,100000,0,1
Closure_71,100000,0,1
Closure_72,100000,0,1
Closure_73,100000,0,2
Closure_74,100000,0,3
Closure_75,100000,0,2
Closure_76,100000,0,1
Closure_77,100000,0,1
Closure_78,100000,0,1
Closure_80,100000,0,1
Closure_81,100000,0,1
Closure_82,100000,0,5
Closure_85,100000,0,1
Closure_9,100000,0,1
Closure_99,100000,0,2
Codec_1,100000,0,1
Codec_10,100000,0,1
Codec_11,1,1,1
Codec_12,1,6,6
Codec_13,1,4,8
Codec_15,100000,0,6
Codec_16,100000,0,1
Codec_17,1,6,6
Codec_18,100000,0,2
Codec_4,1,2,2
Codec_7,1,6,7
Codec_8,100000,0,2
Codec_9,100000,0,4
Collections_27,100000,0,3
Compress_10,100000,0,4
Compress_11,100000,0,1
Compress_12,100000,0,3
Compress_13,100000,0,1
Compress_14,100000,0,3
Compress_15,100000,0,3
Compress_16,100000,0,3
Compress_17,100000,0,7
Compress_18,100000,0,1
Compress_19,100000,0,4
Compress_2,100000,0,2
Compress_22,100000,0,1
Compress_23,100000,0,2
Compress_24,100000,0,1
Compress_27,100000,0,1
Compress_29,100000,0,1
Compress_3,100000,0,1
Compress_30,100000,0,2
Compress_31,100000,0,2
Compress_32,100000,0,3
Compress_33,100000,0,1
Compress_34,100000,0,1
Compress_36,100000,0,1
Compress_37,100000,0,2
Compress_38,100000,0,3
Compress_39,100000,0,3
Compress_40,100000,0,1
Compress_41,100000,0,5
Compress_42,1,2,8
Compress_44,100000,0,4
Compress_47,100000,0,2
Compress_5,100000,0,1
Compress_7,100000,0,1
Compress_8,100000,0,1
Compress_9,100000,0,1
Csv_12,100000,0,1
Csv_15,100000,0,3
Csv_16,100000,0,2
Csv_2,100000,0,3
Csv_4,100000,0,1
Csv_5,1,6,8
Csv_8,1,3,3
Csv_9,100000,0,2
Gson_1,100000,0,1
Gson_13,100000,0,3
Gson_18,1,1,3
Gson_5,100000,0,3
Gson_7,1,3,3
JacksonCore_1,100000,0,3
JacksonCore_12,1,1,1
JacksonCore_16,100000,0,1
JacksonCore_19,1,4,4
