bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_1,3,1,3
Chart_11,2,1,2
Chart_5,2,3,6
Cli_10,100000,0,6
Cli_23,1,2,8
Cli_26,100000,0,5
Cli_31,100000,0,3
Cli_5,2,1,2
Closure_27,2,4,5
Closure_74,100000,0,3
Closure_82,100000,0,5
Codec_12,1,6,6
Codec_13,1,4,8
Codec_17,1,6,6
Codec_18,100000,0,2
Codec_7,1,6,7
Codec_8,100000,0,2
Collections_27,100000,0,3
Compress_10,100000,0,4
Compress_17,100000,0,7
Compress_19,100000,0,4
Compress_32,100000,0,3
Compress_38,100000,0,3
Compress_42,1,2,8
Compress_44,100000,0,4
Csv_2,100000,0,3
Csv_5,1,6,8
Csv_9,100000,0,2
Gson_18,1,1,3
Gson_7,1,3,3
JacksonCore_12,1,1,1
JacksonCore_19,1,4,4
JacksonCore_20,1,1,3
JacksonCore_5,1,3,5
JacksonDatabind_103,100000,0,4
JacksonDatabind_104,100000,0,5
JacksonDatabind_108,100000,0,9
JacksonDatabind_110,100000,0,1
JacksonDatabind_16,1,2,2
JacksonDatabind_19,100000,0,5
JacksonDatabind_26,100000,0,5
JacksonDatabind_33,100000,0,1
JacksonDatabind_36,100000,0,3
JacksonDatabind_38,100000,0,2
JacksonDatabind_42,1,3,3
JacksonDatabind_68,1,4,4
JacksonDatabind_71,1,2,2
JacksonDatabind_83,1,4,5
JacksonDatabind_87,100000,0,8
JacksonDatabind_95,1,6,7
Jsoup_1,1,2,3
Jsoup_10,100000,0,4
Jsoup_11,2,1,4
Jsoup_13,100000,0,2
Jsoup_17,2,2,4
Jsoup_21,100000,0,5
Jsoup_23,1,2,2
Jsoup_26,1,4,6
Jsoup_31,100000,0,9
Jsoup_35,1,4,8
Jsoup_36,100000,0,5
Jsoup_39,100000,0,2
Jsoup_4,1,5,7
Jsoup_40,1,3,9
Jsoup_5,1,4,4
Jsoup_52,100000,0,4
Jsoup_54,1,3,3
Jsoup_55,2,1,3
Jsoup_58,1,5,7
Jsoup_62,6,1,8
Jsoup_64,4,1,5
Jsoup_69,100000,0,5
Jsoup_70,2,3,4
Jsoup_71,100000,0,3
Jsoup_72,100000,0,4
Jsoup_73,100000,0,6
Jsoup_74,1,5,5
Jsoup_75,2,2,6
Jsoup_77,1,4,5
Jsoup_80,1,3,3
Jsoup_82,1,2,4
Jsoup_83,1,5,7
Jsoup_88,1,3,3
Jsoup_9,1,2,6
Jsoup_93,100000,0,6
JxPath_14,1,2,2
JxPath_21,1,3,3
JxPath_8,100000,0,3
Lang_1,1,1,1
Lang_12,100000,0,4
Lang_13,1,6,6
Lang_15,1,2,2
Lang_17,1,2,2
Lang_19,3,1,5
Lang_20,2,2,5
Lang_22,2,2,4
Lang_24,1,3,3
Lang_27,3,7,9
Lang_3,100000,0,6
Lang_31,1,3,5
Lang_33,100000,0,4
Lang_36,1,2,3
Lang_37,100000,0,9
Lang_38,1,4,5
Lang_39,100000,0,5
Lang_4,1,3,5
Lang_40,100000,0,6
Lang_6,1,1,1
Math_1,1,3,8
Math_105,2,3,4
Math_106,1,1,5
Math_11,1,5,6
Math_15,1,2,7
Math_16,1,1,2
Math_29,100000,0,3
Math_3,2,2,3
Math_41,100000,0,6
Math_43,100000,0,5
Math_45,100000,0,5
Math_48,100000,0,4
Math_49,3,3,6
Math_5,2,5,6
Math_50,100000,0,6
Math_54,1,6,7
Math_55,1,5,5
Math_59,1,9,9
Math_60,1,3,3
Math_63,1,1,2
Math_76,100000,0,8
Math_77,1,7,9
Math_79,1,5,5
Math_8,1,5,6
Math_89,1,1,3
Math_90,100000,0,2
Math_92,1,2,5
Math_94,1,3,7
Math_96,1,4,7
Math_99,2,2,5
Mockito_18,100000,0,2
Mockito_8,1,2,2
Mockito_9,100000,0,3
Time_10,1,8,8
Time_13,1,3,4
Time_14,1,3,4
Time_15,3,1,6
Time_18,2,2,5
Time_19,100000,0,5
Time_5,100000,0,3
Time_7,1,1,1
Time_8,1,3,5
