bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,1
Chart_5,4,1,5
Chart_9,1,3,3
Cli_10,100000,0,1
Cli_14,100000,0,1
Cli_18,100000,0,1
Cli_2,100000,0,2
Cli_20,100000,0,1
Cli_23,1,7,8
Cli_29,100000,0,2
Cli_30,100000,0,2
Cli_34,1,1,1
Cli_35,1,1,3
Cli_40,100000,0,1
Cli_5,100000,0,2
Cli_9,100000,0,1
Closure_1,100000,0,2
Closure_103,100000,0,2
Closure_104,100000,0,1
Closure_105,100000,0,1
Closure_113,100000,0,1
Closure_114,100000,0,1
Closure_122,100000,0,1
Closure_13,100000,0,1
Closure_131,100000,0,1
Closure_132,100000,0,1
Closure_141,100000,0,1
Closure_142,100000,0,1
Closure_149,100000,0,1
Closure_153,100000,0,1
Closure_156,100000,0,1
Closure_164,100000,0,1
Closure_170,100000,0,1
Closure_26,100000,0,1
Closure_27,1,6,6
Closure_37,100000,0,1
Closure_38,100000,0,2
Closure_42,100000,0,1
Closure_44,100000,0,1
Closure_47,100000,0,1
Closure_50,100000,0,1
Closure_53,100000,0,1
Closure_59,100000,0,1
Closure_65,100000,0,4
Closure_74,100000,0,1
Closure_78,100000,0,5
Closure_82,100000,0,3
Codec_1,100000,0,1
Codec_10,100000,0,1
Codec_11,1,2,2
Codec_12,1,6,6
Codec_13,1,5,6
Codec_15,100000,0,3
Codec_17,1,2,2
Codec_18,100000,0,4
Codec_3,100000,0,1
Codec_4,100000,0,1
Codec_6,100000,0,4
Codec_7,1,2,2
Codec_9,100000,0,2
Collections_27,100000,0,1
Compress_10,100000,0,4
Compress_11,2,2,3
Compress_13,100000,0,2
Compress_14,100000,0,4
Compress_15,100000,0,1
Compress_16,100000,0,1
Compress_17,100000,0,3
Compress_18,100000,0,1
Compress_19,100000,0,3
Compress_22,100000,0,2
Compress_23,100000,0,1
Compress_24,100000,0,3
Compress_26,100000,0,2
Compress_27,100000,0,3
Compress_3,100000,0,1
Compress_30,100000,0,1
Compress_31,100000,0,3
Compress_32,100000,0,3
Compress_33,100000,0,2
Compress_35,100000,0,1
Compress_36,100000,0,1
Compress_37,100000,0,1
Compress_38,100000,0,2
Compress_41,100000,0,1
Compress_42,100000,0,6
Compress_44,100000,0,2
Compress_46,100000,0,1
Compress_47,100000,0,1
Compress_5,100000,0,1
Compress_6,100000,0,1
Compress_8,100000,0,1
Csv_1,100000,0,1
Csv_12,100000,0,2
Csv_14,100000,0,3
Csv_2,100000,0,2
Csv_4,100000,0,1
Csv_5,1,5,6
Csv_8,1,2,4
Gson_1,100000,0,2
Gson_13,1,2,4
Gson_15,1,1,1
Gson_5,100000,0,2
Gson_7,1,3,3
JacksonCore_12,1,5,6
JacksonCore_16,100000,0,1
JacksonCore_19,1,5,5
JacksonCore_2,100000,0,1
JacksonCore_20,1,1,3
JacksonCore_22,100000,0,1
JacksonCore_3,100000,0,1
JacksonCore_5,1,4,5
JacksonCore_7,100000,0,3
JacksonCore_8,100000,0,2
JacksonCore_9,3,1,4
JacksonDatabind_100,100000,0,5
JacksonDatabind_102,1,1,7
JacksonDatabind_103,100000,0,2
JacksonDatabind_104,100000,0,7
JacksonDatabind_108,100000,0,5
JacksonDatabind_110,1,1,2
JacksonDatabind_13,100000,0,1
