bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_5,4,1,5
Chart_9,1,3,3
Cli_23,1,7,8
Cli_30,100000,0,2
Closure_1,100000,0,2
Closure_27,1,6,6
Closure_65,100000,0,4
Closure_78,100000,0,5
Codec_11,1,2,2
Codec_12,1,6,6
Codec_13,1,5,6
Codec_17,1,2,2
Codec_18,100000,0,4
Codec_7,1,2,2
Compress_19,100000,0,3
Compress_24,100000,0,3
Compress_27,100000,0,3
Compress_42,100000,0,6
Compress_44,100000,0,2
Csv_2,100000,0,2
Csv_5,1,5,6
Gson_1,100000,0,2
Gson_7,1,3,3
JacksonCore_12,1,5,6
JacksonCore_19,1,5,5
JacksonCore_20,1,1,3
JacksonCore_5,1,4,5
JacksonCore_8,100000,0,2
JacksonDatabind_102,1,1,7
JacksonDatabind_104,100000,0,7
JacksonDatabind_108,100000,0,5
JacksonDatabind_110,1,1,2
JacksonDatabind_16,1,4,4
JacksonDatabind_17,1,4,4
JacksonDatabind_42,1,5,5
JacksonDatabind_59,100000,0,2
JacksonDatabind_83,1,3,3
JacksonDatabind_87,100000,0,2
JacksonDatabind_95,1,6,7
Jsoup_1,1,1,1
Jsoup_12,1,1,5
Jsoup_14,1,2,2
Jsoup_20,100000,0,2
Jsoup_21,2,2,5
Jsoup_26,1,2,2
Jsoup_29,100000,0,2
Jsoup_31,100000,0,4
Jsoup_35,4,1,6
Jsoup_38,2,1,7
Jsoup_39,100000,0,2
Jsoup_4,1,4,4
Jsoup_40,1,1,7
Jsoup_5,1,2,2
Jsoup_52,100000,0,3
Jsoup_53,100000,0,5
Jsoup_54,1,3,4
Jsoup_56,5,2,7
Jsoup_58,1,3,4
Jsoup_59,100000,0,5
Jsoup_62,100000,0,7
Jsoup_64,100000,0,6
Jsoup_65,100000,0,5
Jsoup_71,100000,0,4
Jsoup_72,100000,0,5
Jsoup_74,1,4,4
Jsoup_75,1,4,4
Jsoup_77,1,7,7
Jsoup_79,100000,0,3
Jsoup_80,1,4,4
Jsoup_82,1,4,6
Jsoup_83,100000,0,3
Jsoup_85,100000,0,2
Jsoup_92,100000,0,4
Jsoup_93,100000,0,4
JxPath_14,1,5,5
JxPath_8,100000,0,5
JxPath_9,100000,0,6
Lang_1,1,1,1
Lang_13,1,6,6
Lang_14,100000,0,4
Lang_19,1,2,8
Lang_20,100000,0,5
Lang_21,100000,0,3
Lang_22,1,5,6
Lang_23,100000,0,3
Lang_24,1,3,5
Lang_27,2,5,6
Lang_31,2,2,3
Lang_35,6,1,6
Lang_36,1,5,6
Lang_37,100000,0,3
Lang_38,2,4,5
Lang_39,100000,0,5
Lang_4,1,2,2
Lang_5,100000,0,8
Lang_6,1,2,2
Math_1,1,4,5
Math_105,1,3,3
Math_106,3,1,4
Math_11,1,6,6
Math_15,1,2,8
Math_16,100000,0,5
Math_22,100000,0,2
Math_26,100000,0,6
Math_29,100000,0,6
Math_48,100000,0,5
Math_49,2,3,4
Math_5,2,5,7
Math_50,100000,0,3
Math_54,2,3,5
Math_55,1,3,5
Math_56,100000,0,2
Math_59,1,3,6
Math_63,1,1,5
Math_77,1,5,9
Math_79,1,7,7
Math_8,1,3,8
Math_89,1,1,7
Math_90,100000,0,4
Math_91,100000,0,2
Math_92,1,3,5
Math_94,1,2,4
Math_96,2,4,5
Mockito_10,1,2,2
Mockito_18,100000,0,3
Time_10,1,3,3
Time_13,1,1,3
Time_14,1,1,3
Time_18,1,1,5
Time_19,100000,0,3
Time_7,1,2,2
Time_8,100000,0,7
