bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,2,5,7
Chart_17,1,5,5
Chart_9,1,7,8
Cli_15,1,2,3
Cli_17,1,2,3
Cli_18,100000,0,5
Cli_2,1,3,4
Cli_26,4,1,7
Cli_35,1,7,7
Cli_36,5,3,7
Cli_39,2,1,4
Cli_5,1,2,2
Closure_116,2,1,4
Closure_120,100000,0,2
Closure_128,100000,0,2
Closure_175,100000,0,2
Closure_2,100000,0,8
Closure_20,100000,0,6
Closure_32,100000,0,8
Closure_4,100000,0,6
Closure_42,100000,0,8
Closure_44,100000,0,5
Closure_45,100000,0,2
Closure_65,100000,0,3
Closure_66,100000,0,5
Codec_11,1,8,8
Codec_12,1,3,6
Codec_13,2,4,6
Codec_17,1,3,3
Codec_3,100000,0,9
Codec_7,1,8,8
Codec_9,100000,0,5
Compress_12,100000,0,5
Compress_15,100000,0,3
Compress_22,100000,0,3
Compress_25,1,2,5
Compress_27,100000,0,5
Compress_32,100000,0,6
Compress_41,100000,0,5
Compress_42,100000,0,7
Compress_47,100000,0,5
Compress_9,100000,0,6
Csv_10,7,1,8
Csv_14,1,2,5
Csv_15,1,3,5
Csv_2,100000,0,4
Csv_5,2,1,7
Csv_8,100000,0,8
Gson_10,2,2,5
Gson_13,1,3,5
Gson_15,2,6,8
Gson_7,100000,0,2
JacksonCore_19,1,4,6
JacksonCore_20,1,2,4
JacksonCore_5,1,2,2
JacksonCore_9,1,1,3
JacksonDatabind_108,100000,0,2
JacksonDatabind_17,1,5,5
JacksonDatabind_3,2,8,9
JacksonDatabind_36,3,1,4
JacksonDatabind_42,1,3,3
JacksonDatabind_46,100000,0,4
JacksonDatabind_48,1,3,3
JacksonDatabind_56,1,6,9
JacksonDatabind_6,1,2,5
JacksonDatabind_93,100000,0,2
JacksonDatabind_95,1,5,6
JacksonXml_1,100000,0,3
Jsoup_1,1,1,1
Jsoup_10,3,1,7
Jsoup_12,1,2,5
Jsoup_15,100000,0,7
Jsoup_18,100000,0,6
Jsoup_19,100000,0,9
Jsoup_20,100000,0,6
Jsoup_21,1,7,9
Jsoup_24,100000,0,5
Jsoup_25,100000,0,7
Jsoup_26,1,5,7
Jsoup_29,3,1,7
Jsoup_30,100000,0,5
Jsoup_31,100000,0,9
Jsoup_34,100000,0,6
Jsoup_35,1,5,7
Jsoup_38,1,5,7
Jsoup_39,100000,0,8
Jsoup_4,1,6,6
Jsoup_40,1,4,9
Jsoup_42,1,8,8
Jsoup_44,1,4,4
Jsoup_47,100000,0,7
Jsoup_51,100000,0,6
Jsoup_52,100000,0,10
Jsoup_56,1,7,8
Jsoup_58,1,2,2
Jsoup_59,100000,0,7
Jsoup_60,100000,0,7
Jsoup_62,3,2,7
Jsoup_64,3,1,10
Jsoup_65,100000,0,3
Jsoup_66,1,6,6
Jsoup_69,1,7,9
Jsoup_70,1,3,7
Jsoup_71,100000,0,4
Jsoup_72,100000,0,7
Jsoup_74,1,5,6
Jsoup_75,1,10,10
Jsoup_76,1,2,2
Jsoup_77,1,4,5
Jsoup_78,100000,0,4
Jsoup_82,1,1,5
Jsoup_83,1,9,9
Jsoup_87,100000,0,3
Jsoup_88,1,4,4
Jsoup_89,100000,0,9
Jsoup_93,100000,0,2
JxPath_20,1,3,3
Lang_15,1,1,1
Lang_17,1,4,4
Lang_18,100000,0,9
Lang_19,1,6,6
Lang_20,100000,0,4
Lang_21,100000,0,7
Lang_22,1,4,4
Lang_24,1,1,2
Lang_25,1,3,6
Lang_27,1,8,10
Lang_3,1,1,9
Lang_31,1,6,6
Lang_33,1,7,8
Lang_35,1,7,9
Lang_36,1,4,4
Lang_37,1,1,5
Lang_39,100000,0,3
Lang_41,1,2,6
Lang_6,1,1,4
Lang_8,100000,0,6
Lang_9,100000,0,5
Math_1,1,4,9
Math_105,1,7,9
Math_106,2,1,7
Math_11,1,9,10
Math_15,1,3,6
Math_16,1,5,6
Math_22,100000,0,4
Math_26,100000,0,4
Math_29,100000,0,2
Math_3,1,6,6
Math_30,1,3,5
Math_31,100000,0,6
Math_37,1,5,6
Math_43,1,5,7
Math_45,100000,0,3
Math_47,1,5,9
Math_5,1,6,7
Math_55,1,8,8
Math_56,2,5,6
Math_59,1,5,5
Math_63,1,2,2
Math_71,1,3,6
Math_76,100000,0,2
Math_77,1,7,8
Math_79,1,5,5
Math_8,1,3,6
Math_80,1,7,8
Math_81,1,1,9
Math_85,1,7,7
Math_89,3,1,3
Math_90,100000,0,6
Math_91,3,7,9
Math_92,1,2,2
Math_93,3,1,10
Math_94,1,6,6
Math_96,3,4,8
Math_98,1,4,5
Math_99,1,7,10
Mockito_18,100000,0,5
Mockito_2,100000,0,2
Time_10,100000,0,3
Time_13,1,7,7
Time_15,1,7,9
Time_17,2,4,6
Time_19,4,1,8
Time_3,1,5,6
Time_4,100000,0,4
Time_7,1,6,7
Time_8,6,2,8
