bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_11,100000,0,3
Chart_5,1,2,3
Chart_9,1,1,1
Cli_23,2,1,10
Cli_35,3,1,3
Cli_5,100000,0,3
Closure_107,100000,0,2
Closure_27,1,4,4
Closure_77,100000,0,3
Closure_82,100000,0,1
Closure_97,100000,0,2
Codec_11,1,3,3
Codec_12,1,4,4
Codec_13,1,3,6
Codec_17,1,4,5
Codec_7,1,4,6
Compress_10,100000,0,3
Compress_19,100000,0,4
Compress_23,100000,0,3
Compress_24,100000,0,6
Compress_27,100000,0,5
Compress_32,100000,0,6
Compress_38,100000,0,7
Compress_39,100000,0,3
Compress_42,100000,0,8
Compress_44,100000,0,2
Csv_16,100000,0,2
Csv_2,3,1,3
Csv_5,1,4,4
Csv_8,1,3,4
Gson_1,100000,0,5
Gson_12,1,2,2
Gson_15,1,1,2
Gson_18,1,1,3
Gson_7,1,1,1
JacksonCore_12,1,1,1
JacksonCore_19,1,2,2
JacksonCore_20,100000,0,2
JacksonCore_5,1,3,3
JacksonCore_6,100000,0,2
JacksonCore_8,3,1,4
JacksonCore_9,100000,0,4
JacksonDatabind_100,100000,0,4
JacksonDatabind_104,100000,0,4
JacksonDatabind_108,100000,0,6
JacksonDatabind_110,100000,0,2
JacksonDatabind_19,2,1,3
JacksonDatabind_26,100000,0,6
JacksonDatabind_38,100000,0,2
JacksonDatabind_40,4,2,6
JacksonDatabind_42,1,4,4
JacksonDatabind_56,1,3,5
JacksonDatabind_68,1,4,5
JacksonDatabind_83,1,3,3
JacksonDatabind_89,100000,0,8
JacksonDatabind_95,1,5,8
JacksonXml_5,100000,0,3
Jsoup_1,1,1,1
Jsoup_13,2,1,2
Jsoup_17,100000,0,8
Jsoup_21,2,2,4
Jsoup_26,1,6,7
Jsoup_29,100000,0,2
Jsoup_31,6,1,7
Jsoup_36,100000,0,3
Jsoup_38,2,2,6
Jsoup_4,1,5,6
Jsoup_40,1,2,2
Jsoup_5,1,4,5
Jsoup_52,100000,0,5
Jsoup_53,100000,0,3
Jsoup_55,1,1,2
Jsoup_56,3,2,8
Jsoup_58,1,4,6
Jsoup_62,1,7,10
Jsoup_64,100000,0,9
Jsoup_71,100000,0,3
Jsoup_72,100000,0,3
Jsoup_74,1,4,4
Jsoup_75,2,4,6
Jsoup_77,1,3,3
Jsoup_80,1,3,3
Jsoup_82,1,5,7
Jsoup_83,1,3,5
Jsoup_85,100000,0,4
Jsoup_88,1,1,1
Jsoup_89,1,3,3
JxPath_14,1,2,2
JxPath_20,1,3,4
JxPath_21,2,1,2
JxPath_8,100000,0,4
JxPath_9,100000,0,3
Lang_1,1,2,2
Lang_13,1,6,6
Lang_17,1,1,1
Lang_18,100000,0,6
Lang_19,1,3,5
Lang_20,6,1,8
Lang_21,100000,0,2
Lang_22,1,2,2
Lang_23,100000,0,6
Lang_24,1,3,3
Lang_25,100000,0,4
Lang_27,2,7,10
Lang_31,1,5,5
Lang_33,1,2,5
Lang_35,100000,0,6
Lang_36,1,3,6
Lang_37,4,1,6
Lang_38,1,2,2
Lang_39,100000,0,7
Lang_41,1,2,4
Lang_6,2,1,2
Math_1,1,5,5
Math_105,1,5,5
Math_106,100000,0,6
Math_11,1,5,6
Math_15,1,4,8
Math_16,2,3,7
Math_26,100000,0,6
Math_27,100000,0,7
Math_29,100000,0,5
Math_3,100000,0,2
Math_36,100000,0,5
Math_37,1,5,6
Math_43,2,1,9
Math_47,100000,0,4
Math_48,100000,0,4
Math_49,1,7,8
Math_5,1,4,8
Math_50,100000,0,3
Math_54,1,3,5
Math_55,2,1,2
Math_59,1,7,8
Math_60,1,2,2
Math_76,100000,0,7
Math_77,1,4,10
Math_79,1,5,5
Math_8,1,3,6
Math_89,100000,0,4
Math_90,100000,0,3
Math_92,1,3,4
Math_94,1,1,4
Math_96,1,2,5
Math_99,1,6,6
Mockito_10,100000,0,6
Mockito_18,100000,0,6
Mockito_3,100000,0,2
Mockito_8,1,4,4
Time_10,1,7,7
Time_13,1,2,4
Time_14,1,2,4
Time_15,3,1,6
Time_18,1,4,7
Time_19,2,2,6
Time_2,1,3,3
Time_4,100000,0,2
Time_7,1,1,1
Time_8,1,3,4
