bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_1,100000,0,1
Chart_11,100000,0,2
Chart_5,1,3,5
Chart_9,1,3,3
Cli_10,100000,0,1
Cli_17,100000,0,1
Cli_2,2,1,6
Cli_23,1,3,6
Cli_26,100000,0,2
Cli_29,1,2,2
Cli_32,100000,0,1
Cli_39,100000,0,2
Cli_40,1,1,2
Cli_5,100000,0,2
Cli_9,100000,0,2
Closure_10,100000,0,1
Closure_100,100000,0,1
Closure_103,100000,0,1
Closure_105,100000,0,2
Closure_107,100000,0,1
Closure_112,100000,0,1
Closure_113,100000,0,1
Closure_114,100000,0,1
Closure_122,100000,0,1
Closure_129,100000,0,1
Closure_141,100000,0,1
Closure_148,100000,0,1
Closure_15,100000,0,1
Closure_156,100000,0,1
Closure_157,100000,0,1
Closure_162,100000,0,1
Closure_164,100000,0,2
Closure_173,100000,0,3
Closure_174,100000,0,1
Closure_175,100000,0,1
Closure_2,100000,0,1
Closure_20,100000,0,1
Closure_26,100000,0,1
Closure_27,1,9,9
Closure_30,100000,0,1
Closure_34,100000,0,1
Closure_38,100000,0,1
Closure_39,100000,0,1
Closure_41,100000,0,2
Closure_44,100000,0,1
Closure_47,100000,0,1
Closure_50,100000,0,3
Closure_51,100000,0,1
Closure_52,100000,0,1
Closure_60,100000,0,2
Closure_62,100000,0,2
Closure_64,100000,0,1
Closure_65,100000,0,2
Closure_69,100000,0,1
Closure_72,100000,0,3
Closure_73,100000,0,1
Closure_74,100000,0,1
Closure_75,100000,0,1
Closure_77,100000,0,4
Closure_78,100000,0,1
Closure_82,100000,0,1
Closure_90,100000,0,1
Closure_95,100000,0,1
Closure_97,100000,0,3
Closure_98,100000,0,1
Codec_1,100000,0,2
Codec_11,1,1,1
Codec_12,1,7,7
Codec_13,1,3,7
Codec_15,100000,0,5
Codec_17,1,4,4
Codec_18,100000,0,2
Codec_3,100000,0,1
Codec_6,100000,0,2
Codec_7,1,6,7
Codec_8,100000,0,2
Codec_9,100000,0,3
Collections_28,100000,0,1
Compress_10,100000,0,2
Compress_11,100000,0,1
Compress_12,100000,0,6
Compress_13,100000,0,2
Compress_14,100000,0,1
Compress_15,100000,0,4
Compress_17,100000,0,3
Compress_18,100000,0,2
Compress_19,100000,0,4
Compress_20,100000,0,3
Compress_23,100000,0,2
Compress_24,100000,0,5
Compress_26,100000,0,1
Compress_27,100000,0,7
Compress_28,100000,0,1
Compress_3,100000,0,1
Compress_30,100000,0,2
Compress_31,100000,0,1
Compress_32,100000,0,3
Compress_34,100000,0,1
Compress_36,100000,0,1
Compress_38,100000,0,4
Compress_39,100000,0,1
Compress_41,100000,0,5
Compress_42,100000,0,5
Compress_43,100000,0,1
Compress_44,100000,0,2
Compress_46,100000,0,2
Compress_47,100000,0,3
Compress_5,100000,0,1
Compress_8,100000,0,1
Csv_1,100000,0,1
Csv_10,100000,0,1
Csv_15,100000,0,1
Csv_16,100000,0,3
Csv_2,100000,0,4
Csv_4,1,1,2
Csv_5,1,3,4
Csv_8,1,2,2
Gson_1,100000,0,3
Gson_13,1,1,3
Gson_14,1,1,1
Gson_15,1,2,2
Gson_18,100000,0,3
Gson_5,100000,0,3
Gson_7,1,3,3
JacksonCore_1,100000,0,2
JacksonCore_12,1,2,2
JacksonCore_16,100000,0,1
JacksonCore_17,100000,0,1
