bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Closure_124,Closure_124_n1.txt,False,16,1,1,False,True,False,False,False
Chart_9,Chart_9_n2.txt,True,203,5,3,True,True,False,True,False
Chart_9,Chart_9_n9.txt,True,200,5,1,True,True,False,True,False
Chart_9,Chart_9_n4.txt,False,195,5,1,True,True,False,True,False
Mockito_10,Mockito_10_n4.txt,True,102,1,1,True,True,False,True,False
Math_29,Math_29_n5.txt,False,77,4,1,False,True,False,False,False
Math_29,Math_29_n6.txt,False,87,1,1,False,False,False,False,False
Math_29,Math_29_n2.txt,False,142,4,1,False,True,False,False,False
Math_29,Math_29_n9.txt,False,80,4,1,False,True,False,False,False
Math_29,Math_29_n7.txt,False,84,4,1,False,True,False,False,False
Jsoup_40,Jsoup_40_n0.txt,True,30,6,1,True,True,False,True,False
Jsoup_40,Jsoup_40_n4.txt,True,32,6,1,True,True,False,True,False
Jsoup_40,Jsoup_40_n6.txt,True,26,6,3,True,True,False,True,False
Jsoup_40,Jsoup_40_n3.txt,True,39,6,1,True,True,False,True,False
Closure_1,Closure_1_n2.txt,False,43,2,1,False,True,False,False,False
Closure_1,Closure_1_n5.txt,False,57,2,1,False,True,False,False,False
Jsoup_52,Jsoup_52_n2.txt,False,48,1,1,False,True,False,False,False
Jsoup_52,Jsoup_52_n6.txt,False,44,1,1,False,False,True,False,False
Lang_36,Lang_36_n7.txt,True,22,4,1,False,False,False,False,False
Lang_36,Lang_36_n2.txt,False,207,4,1,False,False,False,False,False
Lang_36,Lang_36_n3.txt,True,31,4,1,False,False,False,False,False
Lang_36,Lang_36_n0.txt,False,63,4,1,False,False,False,False,False
Lang_43,Lang_43_n0.txt,False,46,1,1,True,True,False,False,False
Closure_158,Closure_158_n9.txt,False,37,2,1,False,True,False,False,False
Closure_158,Closure_158_n2.txt,False,52,2,1,False,True,False,False,False
Math_53,Math_53_n2.txt,False,99,2,1,False,False,False,False,False
Math_53,Math_53_n7.txt,False,57,2,1,False,False,False,False,False
Math_53,Math_53_n9.txt,False,48,1,1,False,True,False,False,False
Jsoup_79,Jsoup_79_n8.txt,False,48,1,1,True,False,False,False,False
Jsoup_79,Jsoup_79_n5.txt,False,37,1,1,True,False,False,False,False
Jsoup_79,Jsoup_79_n0.txt,False,98,1,1,True,True,False,False,False
Jsoup_79,Jsoup_79_n6.txt,False,34,1,1,True,True,False,False,False
Jsoup_73,Jsoup_73_n3.txt,False,81,1,1,False,True,False,False,False
Lang_40,Lang_40_n0.txt,False,132,3,1,False,False,False,False,False
Lang_40,Lang_40_n8.txt,False,32,3,1,False,False,False,False,False
Lang_40,Lang_40_n4.txt,False,50,3,1,False,False,False,False,False
Lang_40,Lang_40_n5.txt,False,45,1,1,False,True,False,False,False
Closure_60,Closure_60_n7.txt,False,38,1,1,False,True,False,False,False
Jsoup_39,Jsoup_39_n1.txt,False,70,1,1,False,True,False,False,False
Math_76,Math_76_n8.txt,False,70,1,1,True,False,False,False,False
Jsoup_59,Jsoup_59_n0.txt,False,60,1,1,True,False,False,False,False
JacksonDatabind_35,JacksonDatabind_35_n0.txt,False,39,1,1,False,True,False,False,False
Math_70,Math_70_n5.txt,False,66,1,1,True,False,False,False,True
Math_70,Math_70_n4.txt,True,50,1,1,True,True,False,True,False
Closure_101,Closure_101_n3.txt,False,25,3,1,False,True,False,False,False
Closure_101,Closure_101_n0.txt,False,32,3,1,False,True,False,False,False
Closure_101,Closure_101_n1.txt,False,16,3,1,False,True,False,False,False
Math_34,Math_34_n0.txt,False,191,1,1,False,True,False,False,False
Math_34,Math_34_n1.txt,False,67,1,1,False,True,False,False,False
Math_101,Math_101_n1.txt,False,104,1,1,True,False,False,False,False
Math_101,Math_101_n5.txt,False,73,1,1,True,False,False,False,False
Closure_47,Closure_47_n9.txt,False,16,1,1,False,True,False,False,False
Jsoup_6,Jsoup_6_n5.txt,False,92,1,1,True,True,False,True,False
Jsoup_6,Jsoup_6_n6.txt,False,63,1,1,True,True,False,False,False
Math_47,Math_47_n4.txt,False,65,1,1,False,True,False,False,False
Math_8,Math_8_n8.txt,True,99,7,4,True,True,False,False,False
Math_8,Math_8_n5.txt,True,99,7,2,True,True,False,False,False
Math_8,Math_8_n4.txt,True,101,7,1,True,True,False,False,False
Compress_36,Compress_36_n1.txt,False,121,1,1,True,True,False,False,False
Jsoup_29,Jsoup_29_n6.txt,False,63,1,1,False,True,False,False,False
Jsoup_63,Jsoup_63_n4.txt,False,46,1,1,False,False,False,False,False
JacksonDatabind_80,JacksonDatabind_80_n3.txt,False,36,1,1,False,True,False,False,False
Math_45,Math_45_n2.txt,False,249,1,1,True,True,False,False,False
Jsoup_86,Jsoup_86_n8.txt,False,55,1,1,True,True,False,False,False
Math_90,Math_90_n6.txt,False,69,6,2,True,True,False,True,False
Math_90,Math_90_n3.txt,False,71,6,1,True,True,False,True,False
Math_90,Math_90_n2.txt,False,60,6,3,True,True,False,True,False
Jsoup_60,Jsoup_60_n7.txt,False,70,1,1,False,True,False,False,False
Closure_149,Closure_149_n8.txt,False,20,3,1,False,True,False,False,False
Closure_149,Closure_149_n6.txt,False,21,3,1,False,True,False,False,False
Closure_149,Closure_149_n9.txt,False,25,3,1,False,True,False,False,False
Math_99,Math_99_n8.txt,False,31,1,1,False,True,False,False,False
Math_99,Math_99_n1.txt,False,30,1,1,False,False,False,False,False
Math_99,Math_99_n9.txt,True,35,1,1,False,False,False,False,False
Closure_77,Closure_77_n4.txt,False,34,4,1,False,True,False,False,False
Closure_77,Closure_77_n7.txt,False,112,1,1,False,False,False,False,False
Closure_77,Closure_77_n5.txt,False,127,4,1,False,True,False,False,False
Closure_77,Closure_77_n3.txt,False,21,4,1,False,True,False,False,False
Closure_77,Closure_77_n0.txt,False,36,4,1,False,True,False,False,False
Math_55,Math_55_n7.txt,False,41,1,1,False,True,False,False,False
Codec_13,Codec_13_n4.txt,True,51,7,3,True,True,False,True,False
Codec_13,Codec_13_n1.txt,False,56,7,2,True,True,False,True,False
Codec_13,Codec_13_n2.txt,False,74,7,1,True,True,False,True,False
Codec_13,Codec_13_n7.txt,False,53,7,1,True,True,False,True,False
Closure_62,Closure_62_n0.txt,False,21,2,1,False,True,False,False,False
Closure_62,Closure_62_n2.txt,False,35,2,1,False,True,False,False,False
JacksonCore_19,JacksonCore_19_n8.txt,True,89,2,1,True,True,False,True,False
JacksonCore_19,JacksonCore_19_n9.txt,True,84,2,1,True,True,False,True,False
JacksonDatabind_6,JacksonDatabind_6_n9.txt,False,9,2,1,False,True,False,False,False
JacksonDatabind_6,JacksonDatabind_6_n6.txt,False,38,2,1,False,True,False,False,False
Gson_7,Gson_7_n8.txt,True,93,8,1,False,True,False,False,False
Gson_7,Gson_7_n4.txt,True,80,8,6,False,True,False,False,False
Gson_7,Gson_7_n7.txt,True,36,8,1,False,True,False,False,False
JacksonDatabind_51,JacksonDatabind_51_n3.txt,False,7,2,2,False,True,False,False,False
Compress_5,Compress_5_n6.txt,False,88,1,1,True,True,False,False,False
Jsoup_16,Jsoup_16_n8.txt,False,51,1,1,False,True,False,False,False
Math_48,Math_48_n8.txt,False,72,1,1,False,True,False,False,False
Math_48,Math_48_n0.txt,False,72,3,3,False,True,False,False,False
Jsoup_82,Jsoup_82_n4.txt,True,40,6,1,True,True,False,True,False
Jsoup_82,Jsoup_82_n8.txt,True,40,6,3,True,True,False,True,False
Jsoup_82,Jsoup_82_n1.txt,True,45,6,1,True,True,False,True,False
Jsoup_82,Jsoup_82_n0.txt,True,40,6,1,True,True,False,True,False
Jsoup_80,Jsoup_80_n6.txt,True,30,9,6,True,True,False,True,False
Jsoup_80,Jsoup_80_n2.txt,True,67,9,1,True,True,False,True,False
Jsoup_80,Jsoup_80_n0.txt,True,35,9,1,True,True,False,True,False
Jsoup_80,Jsoup_80_n4.txt,True,38,9,1,True,True,False,True,False
Codec_7,Codec_7_n0.txt,False,24,1,1,False,False,True,False,False
JacksonDatabind_87,JacksonDatabind_87_n8.txt,False,58,1,1,False,True,False,False,False
Lang_48,Lang_48_n1.txt,False,87,1,1,False,False,False,False,False
Math_22,Math_22_n0.txt,False,33,1,1,False,False,False,False,False
Csv_2,Csv_2_n8.txt,False,59,2,1,True,True,False,False,False
Csv_2,Csv_2_n6.txt,False,57,2,1,True,True,False,False,False
Time_7,Time_7_n7.txt,True,88,8,3,False,True,False,False,False
Time_7,Time_7_n0.txt,False,109,8,1,False,True,False,False,False
Time_7,Time_7_n9.txt,True,83,8,1,False,True,False,False,False
Time_7,Time_7_n5.txt,True,63,8,1,False,True,False,False,False
