bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Lang_25,Lang_25_n7.txt,False,95,1,1,True,False,False,False,False
Lang_25,Lang_25_n1.txt,True,31,1,1,True,False,False,False,False
JacksonDatabind_42,JacksonDatabind_42_n10.txt,True,55,3,1,False,False,True,False,False
JacksonDatabind_42,JacksonDatabind_42_n5.txt,True,110,1,1,False,True,False,False,False
JacksonDatabind_42,JacksonDatabind_42_n2.txt,True,68,3,2,False,False,True,False,False
JxPath_8,JxPath_8_n10.txt,False,29,4,1,False,False,False,False,False
JxPath_8,JxPath_8_n5.txt,False,18,4,1,False,False,False,False,False
JxPath_8,JxPath_8_n2.txt,False,73,4,1,False,False,False,False,False
JxPath_8,JxPath_8_n4.txt,False,73,4,1,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n1.txt,True,151,3,1,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n4.txt,True,151,3,1,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n8.txt,True,151,3,1,False,False,False,False,False
Cli_30,Cli_30_n4.txt,False,85,1,1,False,False,False,False,False
Cli_30,Cli_30_n8.txt,False,127,1,1,False,False,False,False,False
Closure_5,Closure_5_n8.txt,False,37,1,1,False,False,False,False,False
Math_79,Math_79_n1.txt,True,102,5,1,True,True,False,True,False
Math_79,Math_79_n6.txt,True,102,5,1,True,True,False,True,False
Math_79,Math_79_n4.txt,True,101,5,1,True,True,False,True,False
Math_79,Math_79_n10.txt,True,102,5,1,True,True,False,True,False
Math_79,Math_79_n8.txt,True,102,5,1,True,True,False,True,False
Jsoup_72,Jsoup_72_n7.txt,False,74,3,1,True,True,False,False,False
Jsoup_72,Jsoup_72_n8.txt,False,37,1,1,True,True,False,False,False
Jsoup_72,Jsoup_72_n10.txt,False,22,3,1,True,True,False,False,False
Jsoup_72,Jsoup_72_n4.txt,False,22,3,1,True,True,False,False,False
Jsoup_83,Jsoup_83_n1.txt,False,43,1,1,False,False,False,False,False
Jsoup_83,Jsoup_83_n8.txt,False,49,1,1,False,False,False,False,False
Jsoup_83,Jsoup_83_n10.txt,True,53,3,1,False,False,False,False,False
Jsoup_83,Jsoup_83_n4.txt,False,57,1,1,False,True,False,False,False
Jsoup_83,Jsoup_83_n7.txt,True,51,3,1,False,False,False,False,False
Jsoup_83,Jsoup_83_n6.txt,True,58,3,1,False,False,False,False,False
Cli_23,Cli_23_n8.txt,True,52,7,1,True,True,False,False,False
Cli_23,Cli_23_n2.txt,True,71,7,1,True,True,False,False,False
Cli_23,Cli_23_n10.txt,True,31,7,1,True,True,False,False,False
Cli_23,Cli_23_n4.txt,True,52,7,3,True,True,False,False,False
Cli_23,Cli_23_n9.txt,True,73,7,1,True,True,False,False,False
JacksonDatabind_38,JacksonDatabind_38_n6.txt,False,55,1,1,True,True,False,False,False
JacksonDatabind_38,JacksonDatabind_38_n8.txt,False,24,2,1,True,True,False,False,False
JacksonDatabind_38,JacksonDatabind_38_n10.txt,False,125,2,1,True,True,False,False,False
Math_76,Math_76_n1.txt,False,143,1,1,True,False,False,False,False
Jsoup_1,Jsoup_1_n3.txt,True,33,7,4,False,False,True,False,False
Jsoup_1,Jsoup_1_n10.txt,True,53,7,1,False,False,True,False,False
Jsoup_1,Jsoup_1_n4.txt,True,42,7,1,False,False,True,False,False
Jsoup_1,Jsoup_1_n6.txt,False,33,7,1,False,False,True,False,False
Time_15,Time_15_n8.txt,False,34,1,1,True,False,False,False,False
Time_15,Time_15_n10.txt,False,49,1,1,True,False,False,False,False
Time_15,Time_15_n7.txt,False,26,1,1,True,False,False,False,False
Time_15,Time_15_n6.txt,False,22,1,1,True,False,False,False,False
Time_15,Time_15_n9.txt,False,87,1,1,True,True,False,False,False
JacksonDatabind_26,JacksonDatabind_26_n6.txt,False,16,1,1,False,True,False,False,False
JacksonCore_5,JacksonCore_5_n1.txt,False,89,1,1,True,True,False,False,False
JacksonCore_5,JacksonCore_5_n3.txt,False,21,1,1,True,True,False,False,False
Time_2,Time_2_n5.txt,False,50,1,1,False,False,False,False,False
Compress_42,Compress_42_n7.txt,False,54,1,1,False,True,False,False,False
JacksonDatabind_64,JacksonDatabind_64_n10.txt,False,21,1,1,False,True,False,False,False
Jsoup_40,Jsoup_40_n8.txt,True,26,4,1,True,True,False,True,False
Jsoup_40,Jsoup_40_n1.txt,False,28,1,1,True,False,False,False,False
Jsoup_40,Jsoup_40_n9.txt,False,37,4,1,True,True,False,True,False
Jsoup_40,Jsoup_40_n4.txt,False,28,1,1,True,False,False,False,False
Jsoup_40,Jsoup_40_n6.txt,True,17,4,1,True,True,False,True,False
Jsoup_40,Jsoup_40_n2.txt,False,30,4,1,True,True,False,True,False
