bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Closure_81,Closure_81_n6.txt,False,24,1,1,False,True,False,False,False
Closure_81,Closure_81_n9.txt,False,18,1,1,False,False,False,False,False
Closure_22,Closure_22_n6.txt,False,43,1,1,False,False,False,False,False
Math_90,Math_90_n1.txt,False,59,2,1,True,True,False,True,False
Math_90,Math_90_n2.txt,False,161,1,1,True,False,False,False,False
Math_90,Math_90_n7.txt,False,93,2,1,True,True,False,True,True
Jsoup_59,Jsoup_59_n1.txt,False,25,1,1,True,False,False,False,False
Closure_53,Closure_53_n3.txt,False,44,1,1,True,False,False,False,False
Lang_37,Lang_37_n6.txt,False,61,6,1,True,True,False,True,False
Lang_37,Lang_37_n9.txt,False,53,6,1,True,True,False,True,False
Lang_37,Lang_37_n10.txt,False,57,6,1,True,True,False,True,False
Lang_37,Lang_37_n4.txt,True,62,6,1,True,True,False,True,False
Lang_37,Lang_37_n8.txt,False,49,6,1,True,True,False,True,False
Lang_37,Lang_37_n5.txt,False,33,6,1,True,True,False,True,False
Closure_146,Closure_146_n10.txt,False,32,1,1,False,False,False,False,False
Lang_39,Lang_39_n7.txt,False,39,8,1,True,True,False,False,False
Lang_39,Lang_39_n2.txt,False,55,8,2,True,True,False,False,False
Lang_39,Lang_39_n4.txt,False,55,8,1,True,True,False,False,False
Lang_39,Lang_39_n10.txt,False,23,1,1,True,False,False,False,False
Lang_39,Lang_39_n9.txt,False,39,8,2,True,True,False,False,False
Lang_39,Lang_39_n6.txt,False,55,8,1,True,True,False,False,False
Lang_39,Lang_39_n1.txt,False,55,8,1,True,True,False,False,False
Lang_6,Lang_6_n8.txt,True,19,5,4,True,True,False,True,False
Lang_6,Lang_6_n7.txt,True,14,5,1,True,True,False,True,False
Lang_14,Lang_14_n2.txt,False,35,1,1,False,False,False,False,False
Lang_14,Lang_14_n5.txt,False,19,2,1,False,False,False,False,False
Lang_14,Lang_14_n9.txt,False,27,2,1,False,False,False,False,False
Lang_14,Lang_14_n1.txt,False,66,1,1,False,False,False,False,False
Jsoup_60,Jsoup_60_n1.txt,False,79,1,1,False,False,False,False,False
Jsoup_60,Jsoup_60_n2.txt,False,76,1,1,False,False,False,False,False
Codec_7,Codec_7_n8.txt,True,109,9,5,False,False,True,False,False
Codec_7,Codec_7_n2.txt,True,24,9,3,False,False,True,False,False
Codec_7,Codec_7_n10.txt,True,109,9,1,False,False,True,False,False
Closure_27,Closure_27_n8.txt,True,82,6,1,True,True,False,False,False
Closure_27,Closure_27_n7.txt,True,82,6,1,True,True,False,False,False
Closure_27,Closure_27_n1.txt,True,82,6,1,True,True,False,False,False
Closure_27,Closure_27_n10.txt,True,82,6,1,True,True,False,False,False
Closure_27,Closure_27_n5.txt,True,82,6,1,True,True,False,False,False
Closure_27,Closure_27_n9.txt,False,84,6,1,True,True,False,False,False
Lang_16,Lang_16_n3.txt,False,24,1,1,True,False,False,False,False
Lang_16,Lang_16_n1.txt,False,58,2,1,True,True,False,True,False
Lang_16,Lang_16_n8.txt,False,32,2,1,True,True,False,True,False
Lang_16,Lang_16_n4.txt,False,75,1,1,True,True,False,True,False
Closure_118,Closure_118_n8.txt,False,117,1,1,False,False,False,False,False
Closure_88,Closure_88_n2.txt,False,19,1,1,False,False,False,False,False
Jsoup_20,Jsoup_20_n4.txt,False,41,1,1,False,False,False,False,False
Mockito_11,Mockito_11_n4.txt,False,130,1,1,False,True,False,False,False
Lang_22,Lang_22_n1.txt,True,56,3,2,False,False,False,False,False
Lang_22,Lang_22_n4.txt,True,59,3,1,False,False,False,False,False
Lang_22,Lang_22_n10.txt,False,126,1,1,False,True,False,False,False
Mockito_2,Mockito_2_n10.txt,False,85,3,1,False,False,False,False,False
Mockito_2,Mockito_2_n4.txt,False,74,3,1,False,False,False,False,False
Mockito_2,Mockito_2_n6.txt,False,80,3,1,False,False,False,False,False
Jsoup_77,Jsoup_77_n10.txt,True,48,9,2,False,False,True,False,False
Jsoup_77,Jsoup_77_n6.txt,True,96,9,1,False,False,True,False,False
Jsoup_77,Jsoup_77_n2.txt,True,96,9,2,False,False,True,False,False
Jsoup_77,Jsoup_77_n1.txt,True,96,9,1,False,False,True,False,False
Jsoup_77,Jsoup_77_n7.txt,True,48,9,1,False,False,True,False,False
Jsoup_77,Jsoup_77_n4.txt,True,48,9,1,False,False,True,False,False
Jsoup_77,Jsoup_77_n9.txt,True,40,1,1,False,False,False,False,False
Jsoup_77,Jsoup_77_n5.txt,True,59,9,1,False,False,True,False,False
Time_8,Time_8_n1.txt,False,63,1,1,False,True,False,False,False
Time_8,Time_8_n5.txt,False,63,1,1,False,False,False,False,False
Math_54,Math_54_n3.txt,False,47,1,1,False,False,False,False,False
Jsoup_35,Jsoup_35_n2.txt,False,28,1,1,True,False,False,False,False
Jsoup_35,Jsoup_35_n5.txt,False,54,1,1,True,False,False,False,False
Jsoup_35,Jsoup_35_n3.txt,False,49,1,1,True,False,False,False,False
Math_15,Math_15_n9.txt,False,35,6,1,False,False,False,False,False
Math_15,Math_15_n1.txt,False,48,6,1,False,False,False,False,False
Math_15,Math_15_n6.txt,False,36,6,1,False,False,False,False,False
Math_15,Math_15_n10.txt,False,67,6,1,False,False,False,False,False
Math_15,Math_15_n5.txt,False,264,6,1,False,False,False,False,False
Math_15,Math_15_n3.txt,False,29,1,1,False,False,False,False,False
Math_15,Math_15_n7.txt,False,21,6,1,False,False,False,False,False
Math_15,Math_15_n2.txt,False,40,1,1,False,False,False,False,False
Jsoup_21,Jsoup_21_n1.txt,False,71,3,1,True,True,False,True,False
Jsoup_21,Jsoup_21_n2.txt,False,47,3,1,True,True,False,True,False
Jsoup_21,Jsoup_21_n5.txt,True,69,3,1,True,True,False,True,False
Math_10,Math_10_n10.txt,False,119,2,1,False,False,False,False,False
Math_10,Math_10_n4.txt,False,75,2,1,False,False,False,False,False
JxPath_8,JxPath_8_n2.txt,False,29,3,1,False,False,False,False,False
JxPath_8,JxPath_8_n3.txt,False,24,3,1,False,False,False,False,False
JxPath_8,JxPath_8_n4.txt,False,117,3,1,False,False,False,False,False
JxPath_8,JxPath_8_n8.txt,False,26,1,1,False,False,False,False,False
JxPath_8,JxPath_8_n1.txt,False,29,1,1,False,False,False,False,False
Jsoup_31,Jsoup_31_n7.txt,False,39,2,1,False,False,True,False,False
Jsoup_31,Jsoup_31_n10.txt,False,39,2,1,False,False,True,False,False
Jsoup_31,Jsoup_31_n2.txt,False,31,1,1,False,False,False,False,False
Jsoup_31,Jsoup_31_n1.txt,False,39,1,1,False,False,False,False,False
Jsoup_88,Jsoup_88_n6.txt,False,89,2,1,False,True,False,False,False
Jsoup_88,Jsoup_88_n4.txt,False,97,2,1,False,True,False,False,False
Math_49,Math_49_n4.txt,True,117,9,8,True,True,False,False,False
Math_49,Math_49_n2.txt,True,115,9,1,True,True,False,False,False
Time_16,Time_16_n10.txt,False,62,1,1,False,False,False,False,False
Time_16,Time_16_n2.txt,False,111,1,1,False,False,False,False,False
Time_16,Time_16_n6.txt,False,60,1,1,False,True,False,False,False
Time_16,Time_16_n1.txt,False,186,1,1,False,True,False,False,False
Time_16,Time_16_n5.txt,False,49,1,1,False,True,False,False,False
Chart_9,Chart_9_n9.txt,True,200,3,1,True,True,False,True,False
Chart_9,Chart_9_n1.txt,True,200,3,1,True,True,False,True,False
Chart_9,Chart_9_n8.txt,True,200,3,1,True,True,False,True,False
Chart_9,Chart_9_n5.txt,False,210,1,1,True,False,False,False,False
Math_1,Math_1_n1.txt,True,18,1,1,True,True,False,False,False
Math_1,Math_1_n9.txt,True,23,6,2,True,True,False,False,False
Math_1,Math_1_n4.txt,False,45,6,1,True,True,False,False,False
Math_1,Math_1_n7.txt,False,49,6,1,True,True,False,False,False
Math_1,Math_1_n3.txt,False,45,6,1,True,True,False,False,False
Math_1,Math_1_n5.txt,False,26,1,1,True,True,False,False,False
Math_1,Math_1_n6.txt,True,36,6,1,True,True,False,False,False
Time_13,Time_13_n9.txt,False,79,2,1,False,False,False,False,False
Time_13,Time_13_n5.txt,False,23,1,1,False,False,True,False,False
Time_13,Time_13_n7.txt,False,167,2,1,False,False,False,False,False
Jsoup_80,Jsoup_80_n10.txt,True,46,8,1,True,True,False,True,False
