bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Lang_25,Lang_25_n10.txt,False,29,1,1,True,False,False,False,False
JacksonDatabind_87,JacksonDatabind_87_n5.txt,False,58,4,2,False,False,False,False,False
JacksonDatabind_87,JacksonDatabind_87_n9.txt,False,58,4,2,False,False,False,False,False
JacksonDatabind_42,JacksonDatabind_42_n10.txt,True,66,10,1,False,False,True,False,False
JacksonDatabind_42,JacksonDatabind_42_n7.txt,True,68,10,6,False,False,True,False,False
JacksonDatabind_42,JacksonDatabind_42_n1.txt,True,68,10,1,False,False,True,False,False
JacksonDatabind_42,JacksonDatabind_42_n2.txt,True,68,10,1,False,False,True,False,False
JacksonDatabind_42,JacksonDatabind_42_n9.txt,True,64,10,1,False,False,True,False,False
JxPath_8,JxPath_8_n6.txt,False,34,5,1,False,False,False,False,False
JxPath_8,JxPath_8_n9.txt,False,97,5,1,False,False,False,False,False
JxPath_8,JxPath_8_n5.txt,False,18,5,1,False,False,False,False,False
JxPath_8,JxPath_8_n4.txt,False,31,5,1,False,False,False,False,False
JxPath_8,JxPath_8_n8.txt,False,31,5,1,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n5.txt,True,111,9,1,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n1.txt,True,151,9,5,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n4.txt,True,106,9,1,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n3.txt,False,54,1,1,False,True,False,False,False
JacksonCore_12,JacksonCore_12_n2.txt,True,151,9,1,False,False,False,False,False
JacksonCore_12,JacksonCore_12_n8.txt,True,105,9,1,False,False,False,False,False
Cli_30,Cli_30_n1.txt,False,224,2,1,False,False,False,False,False
Cli_30,Cli_30_n9.txt,False,128,2,1,False,False,False,False,False
Lang_16,Lang_16_n8.txt,False,41,1,1,True,False,False,False,False
Lang_16,Lang_16_n9.txt,False,36,1,1,True,False,False,False,False
Lang_16,Lang_16_n6.txt,False,79,1,1,True,False,False,False,False
Math_79,Math_79_n6.txt,True,96,7,1,True,True,False,True,False
Math_79,Math_79_n3.txt,True,101,7,1,True,True,False,True,False
Math_79,Math_79_n10.txt,True,101,7,1,True,True,False,True,False
Math_79,Math_79_n2.txt,True,93,7,1,True,True,False,True,False
Math_79,Math_79_n5.txt,True,101,7,1,True,True,False,True,False
Math_79,Math_79_n7.txt,True,102,7,1,True,True,False,True,False
Math_79,Math_79_n8.txt,True,101,7,1,True,True,False,True,False
Codec_11,Codec_11_n5.txt,True,38,2,1,True,True,False,False,False
Codec_11,Codec_11_n10.txt,True,28,2,1,True,True,False,False,False
Jsoup_72,Jsoup_72_n9.txt,False,51,6,1,True,True,False,False,False
Jsoup_72,Jsoup_72_n1.txt,False,22,6,2,True,True,False,False,False
Jsoup_72,Jsoup_72_n8.txt,False,22,6,1,True,True,False,False,False
Jsoup_72,Jsoup_72_n10.txt,False,27,6,1,True,True,False,False,False
Jsoup_72,Jsoup_72_n4.txt,False,27,6,1,True,True,False,False,False
Jsoup_83,Jsoup_83_n7.txt,False,51,3,1,False,True,False,False,False
Jsoup_83,Jsoup_83_n6.txt,False,56,3,1,False,True,False,False,False
Jsoup_83,Jsoup_83_n2.txt,False,108,3,1,False,True,False,False,False
Jsoup_14,Jsoup_14_n8.txt,True,69,2,1,False,False,False,False,False
Jsoup_14,Jsoup_14_n5.txt,True,45,2,1,False,False,False,False,False
Math_91,Math_91_n1.txt,False,58,2,1,False,False,True,False,False
Math_91,Math_91_n4.txt,False,58,2,1,False,False,True,False,False
Cli_23,Cli_23_n2.txt,True,52,1,1,True,True,False,False,False
Cli_23,Cli_23_n10.txt,True,89,3,1,True,False,False,False,False
Cli_23,Cli_23_n4.txt,False,67,3,1,True,True,False,False,False
Cli_23,Cli_23_n6.txt,True,75,3,1,True,True,False,False,False
Cli_23,Cli_23_n7.txt,True,79,1,1,True,False,False,False,False
Cli_23,Cli_23_n9.txt,True,80,3,1,True,False,False,False,False
Cli_23,Cli_23_n1.txt,True,54,3,1,True,True,False,False,False
Cli_23,Cli_23_n3.txt,True,73,3,1,True,False,False,False,False
Lang_24,Lang_24_n4.txt,False,47,3,1,False,False,False,False,False
Lang_24,Lang_24_n5.txt,True,26,1,1,False,False,False,False,False
